ลำดับ (Item No.),รายการเครื่องมือวัด (Description),ช่วงการวัด (Range),ความสามารถในการวัดและสอบเทียบ (CMC / Uncertainty),ราคาค่าธรรมเนียม (Price - THB),หมายเหตุ (Remark),รหัสบริการ (Service Code)
209.0,Propane in Nitrogen ,0.001- 1 cmol/mol,1.0 %relative,"20,500 refill per 1 cylinder","Cylinder volume: 10 Liters,
Filling Pressure :100-120 bar
CGA Valve: 580",12051-20603
210.0,Propane in Air ,0.5-1 cmol/mol ,1.0 %relative,"24,100/refill per 1 cylinder ","Cylinder volume: 10 Liters,
Filling Pressure :100-120 bar
CGA Valve: 580",12050-20605
211.0,Nitrogen Monoxide in Nitrogen,30 - 5 000 µmol/mol,1.0% relative,"31,000/refill per cylinder","Cylinder volume: 10 Liters,
Filling Pressure :100-120 bar
CGA Valve: 660",12051-20701
212.0,"Oxygen, Carbon monoxide, Methane and Hydrogen sulfide in Nitrogen ","O2 :   18 cmol/mol
CH4:   2.2 cmol/mol
CO:     100 µmol/mol
H2S:   25 µmol/mol"," 1.0 %relative for O2, CH4, CO
 5.0 %relative for H2S","35,000/refill per 1 cylinder ","Cylinder Volume:  approx. 10 Liters
Filling Pressure: 100-120 bar
CGA Valve: 660 ",12050-21000
213.0,"Oxygen, Carbon monoxide and Methane in Nitrogen","O2 :   18 cmol/mol
CH4:   2.2-2.5 cmol/mol
CO:     100 µmol/mol",1.0 %relative,"30,000/refill per 1 cylinder ","Cylinder volume: 10 Liters,
Filling Pressure :100-120 bar
CGA Valve: 580",12050-21001
214.0,Hydrogen Sulfide in Nitrogen,20 - 100 µmol/mol,4% relative,"27,400/refill per 1 cylinder ","Cylinder volume: 10 Liters,
Filling Pressure :100-120 bar
CGA Valve: 660",12051-21101
215.0,Iso-butane in Air,0.1- 1 cmol/mol,1% relative,"24,500/refill per 1 cylinder ","Cylinder volume: 10 Liters,
Filling Pressure :100-120 bar
CGA Valve: 580",12050-21201
216.0,Ammonia in Nitrogen,"20-100 µmol/mol
"," 4.0 %relative
","27,400/refill per 1 cylinder ","Cylinder Volume:  approx. 10 Liters
Filling Pressure: 100-120 bar
CGA Valve: 660 ",12051-21401
217.0,"Hydrogen in Nitrogen 
",100 - 20 000 µmol/mol,1.0 %relative,"20,000/refill per 1 cylinder ","Cylinder Volume:  approx. 10 Liters
Filling Pressure: 100-120 bar
CGA Valve: 580 ",12050-21501
218.0,"Nitrogen Dioxide in Nitrogen 
","30 - 3,000 umol/mol",2.0% relative,"31,000/refill per cylinder","Cylinder Volumer: approx. 10 Liters
Filling Pressure: 100-120 bar
CGA Valve: 660",12051-21701
219.0,Carbon Dioxide in Argon,"100 - 500,000 µmol/mol",1.0 %relative,"20,000/ cylinder","Cylinder volume: 10 Liters,
Filling Pressure :100 bar
CGA Valve: 580",12050-20205
220.0,Hydrogen in Helium,"100 - 20,000 µmol/mol",1.0% relative,"25,000/ cylinder","Cylinder volume: 10 Liters,
Filling Pressure :100 bar
CGA Valve: 580",12050-21502
221.0,"Methane, Nitrogen in Hydrogen","500 - 500,000 µmol/mol",1.0% relative,"27,000/ cylinder","Cylinder volume: 10 Liters,
Filling Pressure :100 bar
CGA Valve: 580",12050-22301
222.0,Isobutylene in Air,100 µmol/mol,1.0 %relative,"24,500/refill per 1 cylinder ","Cylinder Volume:  approx. 10 Liters
Filling Pressure: 100-120 bar
CGA Valve: 580 ",12050-21801
223.0,"Carbon Dioxide, Oxygen in Nitrogen",1 - 50 cmol/mol,1.0 %relative,"28,000/refill per 1 cylinder ","Cylinder Volume:  approx. 10 Liters
Filling Pressure: Depend on composition
CGA Valve: 580 ",12050-21901
224.0,"Water in Nitrogen
",10 µmol/mol,10% relative,"36,000/refill per 1 cylinder ","Cylinder volume : 30 Liters     
Filling Pressure : 100 bar 
CGA Valve: 580 ",12050-22401
225.0,Organochlorine Pesticides in Soil,"Endosulfan II 0.43 mg/kg 
Endosulfan sulfat 0.56 mg/kg
","14% Relative
15% Relative


","3,000/bottle",,12011-20801
226.0,"Elements in Acrylonitrile Butadiene Styrene (ABS) Plastic, Low Levels »ÃÔÁÒ³¸ÒµØÃÐ´ÑºµèÓã¹¾ÅÒÊµÔ¡ª¹Ô´ ABS ",see certificate â»Ã´´ÙÃÒÂÅÐàÍÕ´Âã¹µÑÇÍÂèÒ§ãº Certificate,,"5,000/ bottle",30 g/bottle,12022-20003
227.0,Elements in 10-mL Digesting Solution from Cotton Swab,see certificate â»Ã´´ÙÃÒÂÅÐàÍÕ´Âã¹µÑÇÍÂèÒ§ãº Certificate,,"4,000/package",10 cotton swabs/ package,12022-20013
228.0,Toxic Elements in Lipstick,see certificate â»Ã´´ÙÃÒÂÅÐàÍÕ´Âã¹µÑÇÍÂèÒ§ãº Certificate,,"3,500/bottle",10 g/bottle,12022-20015
229.0,Elements in Human Serum »ÃÔÁÒ³¸ÒµØã¹«ÕÃÑèÁ,see certificate â»Ã´´ÙÃÒÂÅÐàÍÕ´Âã¹µÑÇÍÂèÒ§ãº Certificate,,"1,000/bottle",4 mL/bottle,12022-20006
230.0,Electrolytes in human serum,"Na: 3,197.99 mg/kg 
K: 151.97 mg/kg
Ca: 89.21 mg/kg
Cl: 3,718.96 mg/kg",(2 - 3)% relative,"2,800/4 mL",,12022-20017
231.0,Ethanol in Air ,50 - 200 µmol/mol,1.0 %relative,"35,000/refill per 1 cylinder ","Cylinder volume: 10 Liters,
Filling Pressure :100-110 bar
CGA Valve: 580",12050-20901
232.0,Oxygen in Nitrogen,30 - 100 cmol/mol,0.5 %relative,"23,000/refill per 1 cylinder ","Cylinder Volume:  approx. 10 Liters
Filling Pressure: 100-120 bar
CGA Valve: 580 ",12051-20104
233.0,"Carbon dioxide, Nitrous oxide and Oxygen in Nitrogen","CO2:  5 cmol/mol
N2O:  30 cmol/mol
O2:  40 cmol/mol","1.0 %relative
1.0 %relative
1.0 %relative","25,500/refill per 1 cylinder ","Cylinder Volume:  approx. 10 Liters
Filling Pressure: approx 50 bar
CGA Valve: 580",12050-22001
234.0,"Isoflurane, Carbon dioxide, Nitrous oxide and Oxygen in Nitrogen","Isoflurane:  0.5 - 2 cmol/mol
CO2:  5 cmol/mol
N2O:  30 cmol/mol
O2:  40 cmol/mol","1.0% relative
1.0% relative
1.0% relative
1.0% relative","25,500/refill per 1 cylinder ","Cylinder Volume:  approx. 10 Liters
Filling Pressure: Depend on composition (6-25 bar), CGA Valve: 580 ",12050-22002
235.0,"Sevoflurane, Carbon dioxide, Nitrous oxide and Oxygen in Nitrogen
","Sevoflurane : 0.5-2 cmol/mol
CO2 : 5 cmol/mol
N2O : 30 cmol/mol
O2 : 40 cmol/mol","1.0% relative
1.0% relative
1.0% relative
1.0% relative","25,500/refill per 1 cylinder ","Cylinder Volume:  approx. 10 Liters
Filling Pressure: Depend on composition (6-20 bar), CGA Valve: 580 ",12050-22003
236.0,Isoflurane in Nitrogen,0.5 - 2 cmol/mol,1.0 %relative,"13,400/refill per 1 cylinder ","Cylinder Volume:  approx. 10 Liters
Filling Pressure: Depend on composition (6-25 bar), CGA Valve: 580 ",12050-22101
237.0,"Sevoflurane in Nitrogen
",Sevoflurane : 0.5-2 cmol/mol,1.0% relative,"15,000/refill per 1 cylinder ","Cylinder Volume:  approx. 10 Liters
Filling Pressure: Depend on composition (6-20 bar), CGA Valve: 580 ",12050-22201
238.0,Glucose in frozen human serum,see certificate â»Ã´´ÙÃÒÂÅÐàÍÕÂ´ã¹µÑÇÍÂèÒ§ãº Certificate,,"5,000/set","3 levels, 1mL/vial",12011-20502
239.0,"65% Nitric acid, suprapure grade, 500 ml",-,-,"3,500/ bottle",500 ml / bottle,12031-20803
240.0,"65% Nitric acid, suprapure grade, 1000 ml",-,-,"6,000/bottle","1,000 ml / bottle",12031-20804
241.0,Tune solution for iCAP,1 ng/g,-,"5,000/bottle ",500 ml / bottle,12031-20805
242.0,Determination of organic compounds in biological fluid by IDMS,ug/g - mg/g,3-20% relative,"10,000 - 15,000/sample","1. Determination of glucose by IFCC reference method
2. Determination of peptide by amino acid hydrolysis
3. lipoprotein",12012-60501
243.0,Determination of organic compounds in food and feed by IDMS,ng/g - mg/g,0.1 - 15 %relative,"10,000-20,000/sample","1. Determination of Ametryn, Atrazine, and Pendimethalin in fruit and vegetable
2.Determination of Metalaxyl, Thiabendazole, Prochloraz, Tebuconazole, Difenoconazole and Azoxystrobin in fruit and vegetable
3. metronidazole 
4. dimetridazole
5. amino acids ",12012-60601
244.0,Determination of organic compounds in food and feed by calibration curve,ng/g - mg/g,,"10,000 /analyte + 5,000 for next analyte","1. Determination of nitrosamines in food
2. Determination of B vitamins in food
3. Determination of Ametryn, Atrazine, and Pendimethalin in fruit and vegetable
4. Determination of Metalaxyl, Thiabendazole, Prochloraz, Tebuconazole, Difenoconazole and Azoxystrobin in fruit and vegetable
",12012-60602
245.0,Determination of purity of organic compounds (Mass balance method),as specification,as specification,"10,000-19,000.00/sample"," 1. Purity assessment of ethanol
2. Purity assessment of mitragynine
3. Purity assessment of 6-gingerol
4. Purity assessment of mangostin  
5. Purity assessment of curcumin
6. Purity assessment of demethoxycurcumin",12012-60101
246.0,Determination of purity of organic compounds (specified technique),as specicication,as specification,"2,000-10,000.00/sample",1. Thermo-physical properties by DSC,12012-60102
247.0,Determination of organic compounds in botanical products,ng/g-mg/g,5-20% relative,"10,000-15,000/sample","This service includes; 
1. Determination of Gamma-oryzanol in rice
2.Determination of anthocyanins in color rice
3. Determination of active ingredient in herb
4. ochratoxin 
5. ochratoxin
6. pesticides
7. mitragynine",12012-60901
248.0,Determination of Brix and refractive indices in food and beverages by refractometer,"5 - 60 %Brix
1.34026 - 1.44193 nD","0.04 %Brix
0.00008 nD
","1,500/sample",,12012-60201
249.0,Determination of polarization in food and beverages by polarimeter,"0 - 100 oZ
 0 - 40 OR
","0.3 - 0.6 oZ
 1 - 3 OR
","11,000/sample",,12012-60202
250.0,Determination of Aflatoxins in solution by LC,ng/g - mg/g,3 - 10 %relative,"6,000/analyte +3,000 for next analyte",,12012-60203
251.0,Determination of sodium chloride by refractometry,0-25 g/100g,1.72 % relative,"6,000/sample",calibration curve,12012-60204
252.0,Determination of organic componds in environment,ng/g - mg/g,3-15% relative,"10,000-20,000/sample",1. Determination of BTEX in water,12011-60210
253.0,Determination of amylose in rice by size exclusion chromatography (SEC) technique,0-30%,as specification,"6,000/sample",,12012-60302
254.0,Determination of amylose in rice by Iodine binding assay using a plate reader,0-30%,as specification,"6,000/sample",,12012-60303
255.0,Determination of dietary suppliment adulteration in food,100-1000 ng/g,7-8 % relative,"18,000/sample",Exact-matching IDMS,12012-60304
256.0,Assigned pH value for sample (primary method),1 - 12 pH,0.003 pH,"13,750/sample",,12033-60107
257.0,Assigned pH value for sample (secondary method),1 - 12 pH,0.004 pH,"13,000/sample",,12033 - 60109
258.0,Assigned pH value for sample  (working method),1 - 12 pH,0.01 pH,"2,500/sample",,12033-60106
259.0,Assigned electrolytic conductivity value for sample (secondary method),5 mS/cm - 12.88 mS/cm,0.3% - 1% relative,"11,000 /sample",,12033-60404
260.0,Assigned electrolytic conductivity value for sample (commercial cell),84 - 12880 mS/cm,0.8% - 1.3% relative,"2,500/sample",,12033-60406
261.0,Determination of cation and anion in sample (ion chromtography),as specification,%1 - 2%relative,"7,000/sample",,12033-60103
262.0,Determination of substances in sample (Electrochemical method (cyclic voltammetry),(5 - 100 )mg/kg,3 % relative,"3,000 / sample","1. nitrite
2. NaCl",12031-60103
263.0,Measurement of acidity in ethanol,(5 - 100 )mg/kg,3 % relative,"3,000 / sample",,12031-60401
264.0,Determination of Elements in sample by ID-ICP/MS,0.0001-30000 mg/kg,0.7-7.5%relative,"20,000 for first element + 3000 for next element",,12023-60101
265.0,Determination of Elements in sample by gravimetric standard addition,0.0004-300000 mg/kg,1.5-18 %relative,"17,500 for first element + 3000 for next element",,12023-60102
266.0,Determination of Elements in sample by external calibration,0.000002 - 300000 mg/kg,1.0-16%relative,"10,000 for first element + 3000 for next element",,12023-60103
267.0,Determination of Elemental speciation in sample,0.02 - 3200 mg/kg,3.5-10%relative,"17,500 for first specy + 3000 for next species",,12023-60104
268.0,Catalytic activity concentration of enzyme by microplate reader,U/L,U/L,"6,000/sample",,12043-60101
269.0,Qualification/quantification of DNA concentration in Foodstuffs/Feed/Biomarkers by droplet digital Polymerase Chain Reaction (ddPCR),detection or not detection/ copy number or ratio,,"12,500/sample"," Quantification of LLrice62 by duplex ddPCR
LOQ
- LLrice 62: 8.41±1.11 copies/µL 
- SPS: 8.49± 1.30copies/µL
Quantification of LLrice601 by duplex ddPCR
LOQ
- LLrice601: 7.77±1.21 copies/µL
- SPS: 7.51± 0.99copies/µL            HIV-1 RNA copy number quantification                                   - 145-757 copies/µL
Detection of chicken DNA by ddPCR
LOD:  4.49 ± 0.96 cp/µL
Detection of ASFV by ddPCR
LOD:  1.89 ± 0.55 cp/µL",12043-60102
270.0,DNA Quantification in Foodstuffs and  feed by quantitative real-time PCR (qPCR),copy number or ratio,,"8,500/sample",,12043-60103
271.0,DNA Qualification in Foodstuffs/Feed/Biomarkers quantitative by real-time PCR (qPCR),detection or not detection,,"5,000/sample"," - The detection of Mycoplasma arginini DNA using Real-Time PCR   
 - The detection of Mycoplasma fermentans DNA using Real-Time PCR   
- Detection of chicken DNA  by qPCR",12043-60104
272.0,Identification of biomolecules by MALDI-TOF MS,Quality measurement,Quality measurement,"2,000/sample",,12043-60105
273.0,qualification of protein in Foodstuffs and feed by LC Q-TOF MS,detection or not detection,,"3,500/sample",,12043-60106
274.0,Confocal Laser Scanning Microscopes ZEISS LSM880,Cell imaging,Cell imaging,"2,500/hr",,12043-60107
275.0,Nanoparticle size measurement in solution,10 - 1000 nm,,"2,000/sample",,12043-60108
276.0,Identification and quantification of organic compounds in herb by GC-MS and HPLC,Quality measurement / Quantity measurement,Quality measurement / Quantity measurement,"2,000/sample","Quantification of terpinen-4-ol in Plai extract using GC/MS
- range 5-100 ug/g
- uncertainty 7-8% relative
Quantification of curcumin MS in turmeric extract using HPLC-DAD
- range 4-300 ug/g
- uncertainty 7-8% relative",12043-60109
277.0,Detection of Foodstuffs/Feed/Biomarkers using loop-mediated isothermal amplification,detection or not detection,,"2,750/sample",,12043-60110
278.0,Oxygen in Nitrogen,5-30 cmol/mol,"0.25%relative
","23,000/cylinder",Cylinder Volume:  approx. 10 Liters ,12051-60101
279.0,Oxygen in Nitrogen,0.01 -5 cmol/mol,"0.7%relative
","30,500/cylinder",Cylinder Volume:  approx. 10 Liters ,12050-60102
280.0,Oxygen in Nitrogen,10-100 µmol/mol,1.2%relative,"30,500/cylinder",Cylinder Volume:  approx. 10 Liters ,12050-60103
281.0,Carbon Dioxide in Nitrogen,0.05-20 cmol/mol,"0.5%relative
","24,000/cylinder",Cylinder Volume:  approx. 10 Liters ,12054-60201
282.0,Methane in Nitrogen,0.05-50 cmol/mol,"0.5%relative
","
24,000/cylinder",Cylinder Volume:  approx. 10 Liters ,12053-60301
283.0,Carbon Monoxide in Nitrogen,5-100 µmol/mol,"1.0%relative
","24,000/cylinder",Cylinder Volume:  approx. 10 Liters ,12052-60401
284.0,Carbon Monoxide in Nitrogen,0.005 - 20 cmol/mol,"0.5%relative
","24,000/cylinder",Cylinder Volume:  approx. 10 Liters ,12051-60402
285.0,Sulfur Dioxide in Nitrogen,100 -5 000 µmol/mol,"0.7%relative
","27,600/cylinder",Cylinder Volume:  approx. 10 Liters ,12051-60501
286.0,Sulfur Dioxide in Nitrogen,30 - 100 µmol/mol,1.2% relative,"27,600/cylinder",Cylinder Volume:  approx. 10 Liters ,12051-60502
287.0,Propane in Nitrogen,0.001- 1 cmol/mol,"0.7%relative
","24,000/cylinder",Cylinder Volume:  approx. 10 Liters ,12051-60601
288.0,Nitrogen Monoxide in Nitrogen,50 - 5 000 µmol/mol,"0.7%relative
","27,600/cylinder",Cylinder Volume:  approx. 10 Liters ,12051-60701
289.0,Nitrous Oxide in Nitrogen,0.05-10 cmol/mol,"0.7%relative
","27,600/cylinder",Cylinder Volume:  approx. 10 Liters ,12051-60801
290.0,"Carbon monoxide, Carbon dioxide in Nitrogen",1-15 cmol/mol,"0.5%relative
","28,800/cylinder",Cylinder Volume:  approx. 10 Liters ,12051-61001
291.0,Hydrogen Sulfide in Nitrogen,25 - 100 µmol/mol,2.5% relative,"30,600/cylinder",Cylinder Volume:  approx. 10 Liters ,12051-61101
292.0,"Carbon monoxide, Methane, Carbon dioxide in Nitrogen","10 - 1,000 µmol/mol",?0.5 %relative,"34,000/cylinder",Cylinder Volume:  approx. 10 Liters. In the same concentration,12050-61301
293.0,Ammonia in Nitrogen,20-100 µmol/mol,?2.5 %relative,"30,600/ cylinder",Cylinder Volume:  approx. 10 Liters,12050-61401
294.0,Hydrogen in Nitrogen,100 - 20 000 µmol/mol,?0.5 %relative,"30,500/cylinder",Cylinder Volume:  approx. 10 Liters ,12050-61501
295.0,Nitrogen Dioxide in Nitrogen,30 - 3 000 umol/mol,?2.0 %relative,"27,600/cylinder",Cylinder Volume: approx. 10 Liters,12050-61701
296.0,"Particulate Matter as PM2.5, PM10  (Analysis)",0 - 500  µg/m3,As air volume specification (³2.0 %relative),"2,700/3 filter samples-47mm",By gravimetric analyis of filter sample ,12051-65001
297.0,Organic and Elemental Carbon (OC/EC) in Particulate Matter,0 - 200  µg C/m3,As air volume specification (³2.0 %relative),"2,100/3 filter samples",By thermal-optical analyis of filter sample ,12051-65101
298.0,"Purity assessment of high purity nitrogen 
Measurand: O2, CO, CO2, CH4, Ar, H2O",0.1-100 µmol/mol,"2-30%relative
","16,000/cylinder",,12050-66001
299.0,"Purity assessment of high purity oxygen
Measurand: N2, CO, CO2, CH4, Ar, H2O",0.1-100 µmol/mol,"2-30%relative
","18,000/cylinder",,12050-66101
300.0,"Purity assessment of high purity carbon monoxide
Measurand: O2, N2, CO2, CH4, H2O",0.1-100 µmol/mol,"2-30%relative
","13,000/cylinder",,12050-66201
301.0,"Purity assessment of high purity methane 
Measurand: O2, CO, CO2, THC, H2O",0.1-100 µmol/mol,"2-30%relative
","13,000/cylinder",,12050-66301
302.0,Aluminium cylinder 10L- CGA 580,"Cylinder Volume:   10 Liters
Brass Valve: CGA 580",,"13,000/cyl",Lot 2565,12051-20001
303.0,Aluminium cylinder - CGA 660,"Cylinder Volume:   10 Liters
Strainless Valve: CGA 660",,"15,000/cyl",Lot 2563,12050-20002
2536.0,Determination of Elements in sample by external calibration,0.000002 - 300000 mg/kg,1.0-16%relative,"10,000 for first element + 3000 for next element",,12023-60103
2537.0,Determination of Elements in sample by ID-ICP/MS,0.0001-30000 mg/kg,0.3-7.5%relative,"20,000 for first element + 3000 for next element",,12023-60101
2538.0,Determination of Elements in sample by gravimetric standard addition,0.0004-300000 mg/kg,1.5-18 %relative,"17,500 for first element + 3000 for next element",,12023-60102
2539.0,Determination of lead isotope ratio in fresh water by single collector ICP-MS,2.5-50 ng/g,0.03 - 0.5% relative,"20,000 / sample",,12023-60106
2540.0,Determination of purity of organic compounds (Mass balance method),as specification,as specification,"10,000-19,000.00/sample","1. Purity assessment of ethanol
2. Purity assessment of mitragynine
3. Purity assessment of 6-gingerol
4. Purity assessment of mangostin  
5. Purity assessment of curcumin
6. Purity assessment of demethoxycurcumin
7. Purity assessment of bisdemethoxycurcumin   ",12012-60101
2541.0,Determination of organic compounds in food and feed by calibration curve,ng/g - mg/g,,"10,000 /analyte + 
5,000 for next analyte","1. Determination of nitrosamines in food
2. Determination of B vitamins in food
3. Determination of Ametryn, Atrazine, and Pendimethalin in fruit and vegetable
4. Determination of Metalaxyl, Thiabendazole, Prochloraz, Tebuconazole, Difenoconazole and Azoxystrobin in fruit and vegetable",12012-60602
2542.0,Nitrogen monoxide in Nitrogen,"10 -5,000 ?mol/mol",(0.5-0.7)% relative,"27,600/cylinder",Cylinder Volume: approx. 10 Liters,12051-60701
2543.0,Qualification/quantification of DNA concentration in Foodstuffs/ Feed/ Biomarkers by droplet digital Polymerase Chain Reaction (ddPCR),detection or not detection/ copy number or ratio,,"12,500/sample","Quantification of LLrice62 by duplex ddPCR
LOQ
- LLrice 62: 8.41?1.11 copies/?L 
- SPS: 8.49? 1.30copies/?L
Quantification of LLrice601 by duplex ddPCR
LOQ
- LLrice601: 7.77?1.21 copies/?L
- SPS: 7.51? 0.99copies/?L            HIV-1 RNA copy number quantification                                   - 145-757 copies/?L
Detection of chicken DNA by ddPCR
LOD:  4.49 ? 0.96 cp/?L
Detection of ASFV by ddPCR
LOD:  1.89 ? 0.55 cp/?L",12043-60102
2544.0,Identification of biomolecules by MALDI-TOF MS,Quality measurement,Quality measurement,"2,000/sample",,12043-60105
2545.0,Determination of organic compounds in botanical products,ng/g-mg/g,5-20% relative,"5,000-15,000/sample","This service includes; 
1. Determination of Gamma-oryzanol in rice
2.Determination of anthocyanins in color rice
3. Determination of active ingredient in herb
4. ochratoxin 
5. ochratoxin
6. pesticides
7. mitragynine",12012-60901
2546.0,Detection of pork DNA using Real-Time PCR,Quality measurement,Quality measurement,5000,,12043-60104
2547.0,Determination of Particle number concentration in sample by spICP-MS,(0.5-2.0)*E11 particles/g,13.2 -18%relative,"15,000 /sample",,12023-60105
2548.0,Toxic Elements in Cosmetic cream containing hemp-derived ingredients,TRM-M-2005,,"2,500/bottle",5 g/bottle,12022-20018
2549.0,Caffeine standard solution for other customer/ made to order,TRM-S-5054,0.5 mg/mL-200 mg/mL,"5,000/set (1 set = 8 ampoule)",1 mL/ampoule,12011-20258
2550.0,Working electrolytic conductivity standard solution (1 mol/L KCl),TRM-S-2053,0.7% relative,"3,000/250 mL",,12031-20616
2551.0,"Hydrogen, Nitrogen and Methane in Helium",TRM-E-3270,?1 %relative,"33,000/refill per 1 cylinder ","Cylinder volume : 10 Liters     
Filling Pressure : 100 bar 
CGA Valve: 580 ",12050-22701
2552.0,Helium in Argon,TRM-E-3250,?1 %relative,"25,400/refill per 1 cylinder ","Cylinder volume : 10 Liters     
Filling Pressure : 100 bar 
CGA Valve: 580 ",12050-22501
2553.0,Hydrogen in Nitrogen,TRM-E-3150,?1 %relative,"20,000/refill per 1 cylinder ","Cylinder volume : 10 Liters     
Filling Pressure : 100 bar 
CGA Valve: 580 ",12050-21501
2554.0,Hydrogen in Nitrogen,TRM-E-3151,?1 %relative,"25,000/refill per 1 cylinder ","Cylinder volume : 10 Liters     
Filling Pressure : 100 bar 
CGA Valve: 580 ",12050-21502
2555.0,Nitrogen monoxide in Nitrogen,TRM-E-3071,2% relative,"31,000/refill per 1 cylinder ","Cylinder volume : 10 Liters     
Filling Pressure : 100 bar 
CGA Valve: 660",12050-20702
2556.0,Nitrous oxide in Nitrogen,TRM-E-3081,5% relative,"31,000/refill per 1 cylinder ","Cylinder volume : 10 Liters     
Filling Pressure : 100 bar 
CGA Valve: 580 ",12050-20801
2557.0,Carbon dioxide and Methane in Nitrogen,TRM-E-3134,"?2 %relative
?4%relative","29,000/refill per 1 cylinder ","Cylinder volume : 10 Liters     
Filling Pressure : 100 bar 
CGA Valve: 580 ",12050-21301
2558.0,Carbon monoxide Carbon dioxide and Methane in Argon,TRM-E-3251,"5 %relative
","56,500/refill per 1 cylinder ","Cylinder volume : 30 Liters     
Filling Pressure : 100 bar 
CGA Valve: 580 ",12050-22502
2559.0,"Benzene / Chloroform / Dichloromethane / Trichloroethylene / Tetrachloroethylene / 1, 2-Dichloroethane / 1, 2-Dichloropropane / 1, 3-Butadiene / Vinyl chloride / Balance : Nitrogen 
",TRM-E-3280,"? 5 %relative 
? 7 %relative for Vinyl chloride,
1,3-Butadiene,","140,000/refill per 1 cylinder ","Cylinder volume : 10 Liters     
Filling Pressure : 100 bar 
CGA Valve: 580 ",12050-22801
2560.0,Fish DNA Solution (TRM S-1021),1.9 x 105 ?L-1,3.3 x 104 ?L-1,5000,,12042-20143
2561.0,Pure crocodile meat,"1,000 g/kg",,"3,500",,12042-20144
2562.0,Crocodile DNA solution,1.2 x 105 ?L-1,2.1 x 104 ?L-1,"5,000",,12042-20145
2563.0,Pure fish meat,"1,000 g/kg",,"3,500",,12042-20146
2564.0,p72-ASFV plasmid DNA,1.6 ? 105  ?L-1,3.9 ? 104  ?L-1,"12,500",,12042-20148
2565.0,pH in wastewater (TRM-E-2005),pH 6.50-7.50,0.04pH,300/ bottle,100 mL/bottle,12031-20129
2566.0,"% Fiber from sugar cane 
(TRM-M-5001)",11.62% MC,0.6% MC,5000 baht/bag,50 g/bag,12011-20901
2567.0,High purity terpinen-4-ol standard (TRM-S-5055),98.70%,7.6%relative,"5,000 baht/bottle",50 mg,12011-20259
2568.0,Sodium Bromide Standard Solution(Density) (TRM-S-5059),600 to 1700 mg/g,0.01-1.0%,"2,000 baht/ampoule",15 mL,12011-20263
2569.0,Working electrolytic conductivity standard solution (Nominal 10 uS/cm) (TRM-S-2054),10  mS/cm,5% relative,"1,300/125 mL",,12031-20617
2570.0,Ethanol standard solution (95%ABV) (TRM-S-5049a),"Density (in air) at 20 oC (kg/m3) = 809.01, Alcoholic Strength (% ABV)  = 95.60","0.25 (0.03% relative),           0.07 (0.07% relative)","2,000/bottle ",15 mL,12011-20249
2571.0,Ethanol standard solution (70%ABV) (TRM-S-5049b),"Density (in air) at 20 oC (kg/m3) = 885.32, Alcoholic Strength (% ABV)  = 70.08","0.29 (0.03% relative),           0.05 (0.07% relative)","2,000/bottle ",15 mL,12011-20250
2572.0,Ethanol standard solution (40%ABV) (TRM-S-5049c),"Density (in air) at 20 oC (kg/m3) = 948.01, Alcoholic Strength (% ABV)  = 40.04","0.33 (0.03% relative),           0.16 (0.4% relative)","2,000/bottle ",15 mL,12011-20251
2573.0,Ethanol standard solution (15%ABV) (TRM-S-5049d),"Density (in air) at 20 oC (kg/m3) = 978.94, Alcoholic Strength (% ABV)  = 15.03","0.28 (0.03% relative),           0.02 (0.13% relative)","2,000/bottle ",15 mL,12011-20252
2574.0,High purity curcumin standard (TRM-S-5056),993.1 mg/g,3.5% relative,"5,000 baht/bottle",50 mg,12011-20260
2575.0,High purity demethoxycurcumin standard (TRM-S-5057),982.8 mg/g,3.5% relative,"5,000 baht/bottle",20 mg,12011-20261
2576.0,0.1% (w/w) Goat in plant based (TRM F-1025),1 g/kg,0.07 g/kg,"3,500",,12042-20147
2577.0,Calcium standard solution (TRM-S-2057),"900-1,200 mg/kg",4%relative,"1,250/ bottle",100 mL/bottle,12031-20503
, Aluminium cylinder 10L- CGA 660,,,"15,000/cyl",,12051-20002
,Aluminium cylinder 30L- CGA 580,,,"20,000/cyl",,12051-20003
,Aluminium cylinder 30L- CGA 660,,,"20,000/cyl",,12051-20004
,Aluminium cylinder 2.9L- CGA 580,,,"6,000/cyl",,12051-20005
