ลำดับ (Item No.),รายละเอียดเครื่องมือ (Description),ช่วงการวัด (Range),ความสามารถการวัด (CMC / Uncertainty),ราคาค่าบริการ (Price),หมายเหตุ (Remark),รหัสบริการ (Code),ฝ่ายงานจริง (Actual Department),ราคาตัวเลข (Price Numeric),ฝ่ายงานที่ทำนาย (Predicted Department),รหัสกลุ่มคลัสเตอร์ (Cluster ID),คำสำคัญของกลุ่มคลัสเตอร์ (Cluster Keywords)
150.0,Thickness of specimen/ feeler gauge,up to 10 mm,"Q[0.5 um, 9.1E-6 L]",750/point,Cal. by length gauge,08071 - 11801,Dimensional Metrology Department,750.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
151.0,"Laser Scan Micrometer
(Display Unit, Measuring Unit)",Up to 100 mm,0.5 mm,"11,250/piece",Cal. by Standard plug gauge,08071 - 11901,Dimensional Metrology Department,11250.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
206.0,Holtest / 3- point internal micrometer,up to 100 mm,1.5 mm + 1.5E-6 d,"2,250/piece",Cal. by Ring gauge,08071 - 12001,Dimensional Metrology Department,2250.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
152.0,Magnification calibrator / Magnification Checker,0 mm to 0.4 mm,0.2 um,"5,630/piece",Direct measurement by linear gauge,08071 - 12401,Dimensional Metrology Department,5630.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
153.0,Calibration block,V1,0.01 mm,"4,500/piece","Cal. by QV
*Depend on the quality of artifact",08071 - 12601,Dimensional Metrology Department,4500.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
154.0,Calibration block,V2,0.01 mm,"3,380/piece","Cal. by QV
*Depend on the quality of artifact",08071 - 12602,Dimensional Metrology Department,3380.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
155.0,Calibration block,LSW,0.01 mm,"3,380/piece","Cal. by QV
*Depend on the quality of artifact",08071 - 12603,Dimensional Metrology Department,3380.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
156.0,Scale lupe : Line spacing,0 - 30 mm,"Q[0.0003 mm, 1.7E-6 L]","2,820/piece + 500 / nex function",Cal. by NIMT Line Scale interferometer system,08071 - 12701,Dimensional Metrology Department,2820.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
157.0,Scale lupe : Diameter/Ellipse,upto 20 mm,"Q[0.0005 mm, 3.21E-6 L]","2,820/piece + 500 / nex function",Cal. By QV,08071 - 12702,Dimensional Metrology Department,2820.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
158.0,Scale lupe : Angle,0 to 360 degree,1 minute,"2,820/piece + 500 / nex function",Cal. By QV,08071 - 12703,Dimensional Metrology Department,2820.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
159.0,Objective/Stage micrometer : Line spacing,0 - 10 mm,"Q[0.0003 mm, 1.7E-6 L]","2,820/piece + 500 / nex function",Cal. by NIMT Line Scale interferometer system,08071 - 12711,Dimensional Metrology Department,2820.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
160.0,Objective/Stage micrometer : Angle,0 to 360 degree,1 minute,"2,820/piece + 500 / nex function",Cal. By QV,08071 - 12712,Dimensional Metrology Department,2820.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
161.0,Objective/Stage micrometer : Diameter/Ellipse,upto 5 mm,"Q[0.0005 mm, 3.21E-6 L]","2,820/piece + 500 / nex function",Cal. By QV,08071 - 12713,Dimensional Metrology Department,2820.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
162.0,Specimens : Line spacing,0 - 300 mm,"Q[0.0003 mm, 1.7E-6 L]","3,000 /piece + 500 / nex function",Cal. by NIMT Line Scale interferometer system,08071 - 12721,Dimensional Metrology Department,3000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
163.0,Specimens : Angle,0 to 360 degree,1 minute,"3,000 /piece + 500 / nex function",Cal. By QV,08071 - 12722,Dimensional Metrology Department,3000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
164.0,Specimens : Diameter/Ellipse,upto 300 mm,"Q[0.0005 mm, 3.21E-6 L]","3,000 /piece + 500 / nex function",Cal. By QV,08071 - 12723,Dimensional Metrology Department,3000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
165.0,Test sieve,0.020 - 125 mm,0.012 - 0.025 mm,"5,000/piece",Cal. By QV,08071 - 12901,Dimensional Metrology Department,5000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
188.0,Profile projector,Up to 500 mm,"Q[0.0015 mm, 0.15E-3 L]","12,530/piece","Cal by Glass Scale, Angle Gauge Block.",08071 - 30601,Dimensional Metrology Department,12530.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
2509.0,2D Scanning Thread Measuring Machine (2D-STMM),"X-axis = 90 mm
Z-axis = 180 mm","Q[0.13 ?m, 2.2E-06 L]","40,000/piece",Direct measurement using Laser Interferometer,08071-10303,Dimensional Metrology Department,40000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
166.0,Standard Glass Scale,0 mm to 300 mm,"Q[41 nm, 0.1E-6 L] ","15,750/piece",Cal. by Line Scale Interferometer,08081 - 10103,Dimensional Metrology Department,15750.0,Dimensional Metrology Department,4,"standard, solution, mass, set, ph"
167.0,Standard Glass Scale,>300 mm to 500 mm,"Q[41 nm, 0.1E-6 L] ","18,000/piece",Cal. by Line Scale Interferometer,08081 - 10104,Dimensional Metrology Department,18000.0,Dimensional Metrology Department,4,"standard, solution, mass, set, ph"
168.0,Standard Metal Scale,0 mm to 1000 mm,8 mm + 2.3E-6L,"4,500/piece",Cal. By NIMT QV,08081 - 10201,Dimensional Metrology Department,4500.0,Dimensional Metrology Department,4,"standard, solution, mass, set, ph"
169.0,Glass scale,0 mm to 200 mm,Q[0.0006 mm + 1.7E-6 L],"3,380/piece","Cal. By NIMT Line scale interferometer (Price per 10 measuring points)
*Depend on the quality of glass scale",08081 - 10301,Dimensional Metrology Department,3380.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
170.0,Glass scale,0 mm to 400 mm,Q[0.0006 mm + 1.7E-6 L],"5,630/piece","Cal. By NIMT Line scale interferometer (Price per 10 measuring points)
*Depend on the quality of glass scale",08081 - 10302,Dimensional Metrology Department,5630.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
171.0,Glass scale,0 mm to 500 mm,"Q[0.0003 mm, 1.0E-6 L]","6,750/piece",Cal. By QV,08081 - 10303,Dimensional Metrology Department,6750.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
172.0,Glass scale,0 mm to 1000 mm,"Q[0.0005 mm, 1.0E-6 L]","7,880/piece             ",Cal. By QV,08081 - 10304,Dimensional Metrology Department,7880.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
173.0,Standard Glass Scale/ Working Standard Scale/Glass scale,0 mm to 200 mm,"Q[0.11 um, 2.9E-6 L] ","6,650/piece","Cal. by Line Scale Interferometer
",08081 - 10305,Dimensional Metrology Department,6650.0,Dimensional Metrology Department,4,"standard, solution, mass, set, ph"
174.0,Standard Glass Scale/ Working Standard Scale/Glass scale,>200 mm to 500 mm,"Q[0.11 um, 2.9E-6 L] ","10,140/piece             ","Cal. by Line Scale Interferometer
",08081 - 10306,Dimensional Metrology Department,10140.0,Dimensional Metrology Department,4,"standard, solution, mass, set, ph"
175.0,Calibration Grid,100x100 mm,0.0003 mm,"4,500/piece","Cal. by QV
*Depend on the quality of artifact",08081 - 10501,Dimensional Metrology Department,4500.0,Innovation and Measuring Devices Development Group,0,"gauge, calibration, testing, machine, laser"
176.0,Calibration Grid,200x200 mm,0.0003 mm,"5,400/piece","Cal. by QV
*Depend on the quality of artifact",08081 - 10502,Dimensional Metrology Department,5400.0,Innovation and Measuring Devices Development Group,0,"gauge, calibration, testing, machine, laser"
177.0,Calibration Grid,300x300 mm,0.0005 mm,"6,300/piece","Cal. by QV
*Depend on the quality of artifact",08081 - 10503,Dimensional Metrology Department,6300.0,Innovation and Measuring Devices Development Group,0,"gauge, calibration, testing, machine, laser"
178.0,Calibration Grid,> 300 mm,0.0007 mm,"10,800/piece","Cal. by QV
*Depend on the quality of artifact",08081 - 10504,Dimensional Metrology Department,10800.0,Innovation and Measuring Devices Development Group,0,"gauge, calibration, testing, machine, laser"
179.0,Linear Scale,Up to 1000 mm,7 mm ,"5,630/piece",Cal. by laser interferometer,08081 - 10801,Dimensional Metrology Department,5630.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
182.0,Measuring Microscope,Up to 500 mm,1 um ,"6,750/piece",Cal. by standard glass scale,08081 - 10901,Dimensional Metrology Department,6750.0,Dimensional Metrology Department,2,"pressure, measuring, instruments, gas, pe"
190.0,3D non-contact,"z-axis 
up to 100 mm","Q[0.0012 mm, 4.5E-6 L]
","14,500/piece","Cal by glass scale, angle gauge, standard square and gauge blocks",08081 - 30803,Dimensional Metrology Department,14500.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
189.0,3D non-contact,"x- and y-axis 
up to 500 mm","Q[0.00015 mm, 0.16E-6 L]
","14,500/piece","Cal by glass scale, angle gauge, standard square and gauge blocks",08081 - 30803,Dimensional Metrology Department,14500.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
181.0,3D non-contact,"z-axis 
up to 100 mm","Q[0.0012 mm, 4.5E-6 L]
","14,500/piece","Cal by glass scale, angle gauge, standard square and gauge blocks",08081 - 30803,Dimensional Metrology Department,14500.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
180.0,3D non-contact,"x- and y-axis 
up to 500 mm","Q[0.00015 mm, 0.16E-6 L]
","14,500/piece","Cal by glass scale, angle gauge, standard square and gauge blocks",08081 - 30803,Dimensional Metrology Department,14500.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
191.0,Measuring Microscope,Up to 500 mm,1 um ,"6,750/piece",Cal by standard glass scale,08081 - 30901,Dimensional Metrology Department,6750.0,Dimensional Metrology Department,2,"pressure, measuring, instruments, gas, pe"
192.0,Scale Calibrator,Up to 1000 mm ,"Q[0.006 mm, 15E-06 L]","5,630/piece","Cal by glass scale
*Depend on the quality of artifact",08081 - 30911,Dimensional Metrology Department,5630.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
193.0,Scale Calibrator,>1000 to 2000 mm ,"Q[0.0085 mm, 21E-06 L]","8,445/piece","Cal by glass scale
*Depend on the quality of artifact",08081 - 30912,Dimensional Metrology Department,8445.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
234.0,Scale Calibrator,Up to 1000 mm ,"Q[0.006 mm, 15E-06 L]","5,630/piece","Cal by glass scale
*Depend on the quality of artifact",08081 - 30913,Dimensional Metrology Department,5630.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
235.0,Scale Calibrator,>1000 to 2000 mm ,"Q[0.0085 mm, 21E-06 L]","8,445/piece","Cal by glass scale
*Depend on the quality of artifact",08081 - 30914,Dimensional Metrology Department,8445.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
2510.0,Steel Tape,up to 1800 mm,"Class 1: Q[0.033 mm, 4.4E-06 L]","3,000/piece",Cal by scale calibrator,08081-30915,Dimensional Metrology Department,3000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
237.0,Monodisperse Polystyrene Particle,Diameter 150 nm,10 mL,"5,000/ea.",TRM-M-9001,08091 - 10101,Dimensional Metrology Department,5000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
238.0,Monodisperse Polystyrene Particle,Diameter 100 nm,10 mL,"5,000/ea.",TRM-M-9002,08091 - 10102,Dimensional Metrology Department,5000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
239.0,Monodisperse Polystyrene Particle,Diameter 1.5 um,10 mL,"5,000/ea.",TRM-M-9003,08091 - 10103,Dimensional Metrology Department,5000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
240.0,Monodisperse Polystyrene Particle,Diameter 300 nm,10 mL,"5,000/ea.",TRM-M-9004,08091 - 10104,Dimensional Metrology Department,5000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
241.0,Monodisperse Polystyrene Particle,Diameter 500 nm,10 mL,"5,000/ea.",TRM-M-9005,08091 - 10105,Dimensional Metrology Department,5000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
242.0,Monodisperse Polystyrene Particle,Diameter 1.0 um,10 mL,"5,000/ea.",TRM-M-9006,08091 - 10106,Dimensional Metrology Department,5000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
2502.0,Contour Specimen,"X-axis = 13.5 mm, 40.0 mm, 65.0 mm and 82.5 mm",0.003 mm,20000,Contact method,08091-10107,Dimensional Metrology Department,20000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
2503.0,Contour Specimen,Y-axis = 2.2 mm and 3.7 mm,0.002 mm,20000,,08091-10108,Dimensional Metrology Department,20000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
2504.0,Contour Specimen,Radius = 6.0 mm and 10 mm,0.002 mm,20000,,08091-10109,Dimensional Metrology Department,20000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
2505.0,Contour Specimen,Angle = 90? and 270?,0.02?,20000,,08091-10110,Dimensional Metrology Department,20000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
183.0,Laser Distance Meter,"Up to 20,000 mm",1 mm ,"1,800/piece",Cal by laser interferomter,08101 - 10001,Dimensional Metrology Department,1800.0,Dimensional Metrology Department,7,"meter, power, phase, ac, wattmeter"
2508.0,Laser Distance Meter,"Up to 20,000 mm",1 mm,"5,000/piece",Compare to the laser interferometer with the standard 40-m Rail System,08101-10001,Dimensional Metrology Department,5000.0,Dimensional Metrology Department,7,"meter, power, phase, ac, wattmeter"
6.0,Distance,40 m,5 ppm,"35,000/distance 
(for up to 10 points) 
 + 1,000/additional point",Comparison with the readings from the standard 40-m Rail System,08101-10002,Dimensional Metrology Department,35000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
7.0,Electronic Distance Meter (EDM),"4 Distances: 
10m., 20m., 30m. and 40m.",-,"40,000/piece",Verification of EDM using 40-m Rail System,08101-10003,Dimensional Metrology Department,40000.0,Dimensional Metrology Department,7,"meter, power, phase, ac, wattmeter"
,Electronic Distance Meter (EDM): Distance,"4 Distances: 
10m., 20m., 30m. and 40m.",-,"5,000/piece",,08101-10004,Dimensional Metrology Department,5000.0,Dimensional Metrology Department,7,"meter, power, phase, ac, wattmeter"
6.0,DC Current Source,"10 µA, 100 µA",5.0 µA/A,"9,000 THB first point + 2,500 THB next point ",Volt Ampere method,09010-03111,Electrical  Metrology Department,9000.0,Electrical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
7.0,DC Current Source,"1 mA, 10 mA, 100 mA, 1 A, 10 A, 20 A",5.0 µA/A to 14 µA/A,"9,000 THB first point + 2,500 THB next point ",Volt Ampere method,09010-03121,Electrical  Metrology Department,9000.0,Electrical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
8.0,DC Current Source,"30 A, 100 A, 200 A",14 µA/A to 20 µA/A,"9,000 THB first point + 2,500 THB next point ",Volt Ampere method,09010-03131,Electrical  Metrology Department,9000.0,Electrical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
9.0,DC Current Meter,"10 µA, 100 µA",5.0 µA/A,"9,000 THB first point + 2,500 THB next point ",Volt Ampere method,09010-03211,Electrical  Metrology Department,9000.0,Electrical  Metrology Department,7,"meter, power, phase, ac, wattmeter"
10.0,DC Current Meter,"1 mA, 10 mA, 100 mA, 1 A, 10 A, 20 A",5.0 µA/A to 14 µA/A,"9,000 THB first point + 2,500 THB next point ",Volt Ampere method,09010-03221,Electrical  Metrology Department,9000.0,Electrical  Metrology Department,7,"meter, power, phase, ac, wattmeter"
11.0,DC Current Meter,30 A,14 µA/A,"9,000 THB first point + 2,500 THB next point ",Volt Ampere method,09010-03231,Electrical  Metrology Department,9000.0,Electrical  Metrology Department,7,"meter, power, phase, ac, wattmeter"
1.0,DC Voltage Standard,1.018 V  / 10 V,0.9 mV/V /0.4 mV/V,"12,500/piece  + 6,750/next point",,09010-10110,Electrical  Metrology Department,12500.0,Electrical  Metrology Department,4,"standard, solution, mass, set, ph"
2.0,Standard Cell,1 V / 1.018 V,0.9 mV/V,"12,500/piece",,09010-10111,Electrical  Metrology Department,12500.0,Electrical  Metrology Department,4,"standard, solution, mass, set, ph"
3.0,DC Voltage Standard,1 V / 1.018 V   / 10 V,0.03 mV/V/ 0.01 mV/V,"36,000/piece",Compared against JJVS maintained by NIMT (Uncertainty depends on noise of Unit Under Calibration),09010-10112,Electrical  Metrology Department,36000.0,Electrical  Metrology Department,4,"standard, solution, mass, set, ph"
2581.0,DC Voltmeter,"-10 mV to 10 mV
-100 mV to 100 mV
-1 V to 1 V
-10 V to 10 V","to 174 ?V/V
1.8 ?V/V to 18 ?V/V
0.18 ?V/V to 1.8 ?V/V
0.02 ?V/V to 0.20 ?V/V","15,000/range
+ 7}500/next range",Direct comparison with conventional Josephson voltage standard (Uncertainty depends on noise of Unit Under Calibration),09010-10113,Electrical  Metrology Department,15000.0,Electrical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
2582.0,DC Voltage Standard,"0.1 V
1 V / 1.018 V
10 V","0.6 ?V/V 
0.03 ?V/V 
0.01 ?V/V ","40,000/2 points
+8,000/next point",Compared against programmable Josephson voltage standard (Uncertainty depends on noise of Unit Under Calibration),09010-10114,Electrical  Metrology Department,40000.0,Electrical  Metrology Department,4,"standard, solution, mass, set, ph"
4.0,Picoampmeter,2 pA to 200 mA,0.1 mA/A to 0.01 mA/A,"6,750 to 11,250/piece",Used volt-ampere method.,09010-10320,Electrical  Metrology Department,6750.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
5.0,Electrometer,2 nC to 200 µC,0.1 mC/C,"6,750 to 11,250/ piece",,09010-10321,Electrical  Metrology Department,6750.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
12.0,AC/DC Transfer Standard,"AC-DC Transfer Difference 2 mV to 20 V  Frequency: 10 Hz to 1 MHz
AC-DC Transfer Difference > 20 V to 1000 V
Frequency: 10 Hz to 100 kHz",8 mV/V to 0.22 mV/V,"90,000/item",,09020-10510,Electrical  Metrology Department,90000.0,Electrical  Metrology Department,4,"standard, solution, mass, set, ph"
13.0,Thermal Transfer Standard,"AC-DC Transfer Difference 0.5 V to 20 V Frequency: 10 Hz to 1 MHz 
AC-DC Transfer Difference > 20 V to 1000 V
Frequency: 10 Hz to 100 kHz",8 mV/V to 0.22 mV/V,"67,500/item",,09020-10511,Electrical  Metrology Department,67500.0,Electrical  Metrology Department,4,"standard, solution, mass, set, ph"
14.0,Thermal Voltage Converter Standard,"AC-DC Transfer Difference 0.5 V to 20 V 
Frequency: 10 Hz to 1 MHz
AC-DC Transfer Difference > 20 V to 1000 V
Frequency: 10 Hz to 100 kHz",8 mV/V to 0.22 mV/V,"9,000/item",,09020-10512,Electrical  Metrology Department,9000.0,Electrical  Metrology Department,4,"standard, solution, mass, set, ph"
15.0,AC Measurement Standard,"AC-DC Transfer Difference 10 mV to 20 V
Frequency: 10 Hz to 1 MHz
AC-DC Transfer Difference > 20 V to 1000 V
Frequency: 10 Hz to 100 kHz",8 mV/V to 0.12 mV/V,"67,500 to 78,750 /item",Excluded WB option.,09020-10520,Electrical  Metrology Department,67500.0,Electrical  Metrology Department,6,"measurement, detector, additional, frequency, irradance"
16.0,AC Measurement Standard,"AC Voltage 10 mV to 20 V
Frequency: 10 Hz to 1 MHz
AC Voltage > 20 V to 1000 V
Frequency: 10 Hz to 100 kHz",11 mV/V to 0.18 mV/V,"78,750 to 85,500 /item",Included WB option.,09020-10521,Electrical  Metrology Department,78750.0,Electrical  Metrology Department,6,"measurement, detector, additional, frequency, irradance"
17.0,Alternating Voltage Measurement Standard,"AC Voltage  100 mV to 20 V 
Frequency: 10 Hz to 1 MHz
AC Voltage  > 20 V to 1000 V
Frequency: 10 Hz to 100 kHz",11 mV/V to 0.18 mV/V,67500/item,,09020-10522,Electrical  Metrology Department,67500.0,Electrical  Metrology Department,6,"measurement, detector, additional, frequency, irradance"
18.0,AC Voltage Current Standard,"AC Voltage 100 mV to 1000V
Frequency 60 Hz and 400 Hz
AC Current 100 mA to 30 A
Frequency 60 Hz and 400 Hz","18 mV/V to 0.58 mV/V
50 mA/A to 0.12 mA/A","18,130 to 21,700/item",,09020-10560,Electrical  Metrology Department,18130.0,Electrical  Metrology Department,4,"standard, solution, mass, set, ph"
19.0,Multifunction Transfer Standard,"AC Voltage  100 mV to 20 V
Frequency: 10 Hz to 1 MHz
AC Voltage  > 20 V to 1000 V
Frequency: 10 Hz to 100 kHz
AC Current  100 mV to 10 A
Frequency: 10 Hz to 10 kHz","11 mV/V to 0.18 mV/V
50 mA/A to 0.12 mA/A",78750/item,,09020-10561,Electrical  Metrology Department,78750.0,Electrical  Metrology Department,4,"standard, solution, mass, set, ph"
20.0,AC Current Shunt,"AC-DC Transfer Difference 5 mA to 100 A
Frequency: 10 Hz to 100 kHz","18 mA/A to 0.20 mA/A
","6,750 to 11,250/item",,09020-10610,Electrical  Metrology Department,6750.0,Electrical  Metrology Department,7,"meter, power, phase, ac, wattmeter"
21.0,AC-DC current transfer standard,30 A to 100 A,? 23 mA/A,"11,250 / range",AC-DC current transfer ,09020-10611,Electrical  Metrology Department,11250.0,Electrical  Metrology Department,4,"standard, solution, mass, set, ph"
22.0,Low level ac-dc voltage transfer by micro potentiometer,2 mV to 200 mV,? 44 mV/V,"66,250 /item",AC-DC voltage transfer ,09020-10612,Electrical  Metrology Department,66250.0,Electrical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
23.0,Wideband calibration source characterize,Wideband output 3.2 V Frequency 10 Hz to 30 MHz,0.058 mV/V to 2.0 mV/V,"11,250 / item",For Calibrator,09020-10613,Electrical  Metrology Department,11250.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
24.0,Wideband function of AC measurement standard,"Flatness error 1 mV to 3.2 V
Wideband gain @ 1 kHz
Wideband gain error
Frequency 10 Hz to 30 MHz","0.084 mV/V to 2.0 mV/V
0.12 mV/V to 2.8 mV/V
0.15 mV/V to 2.8 mV/V","11,250/piece",For AC measurement standard,09020-10614,Electrical  Metrology Department,11250.0,Electrical  Metrology Department,6,"measurement, detector, additional, frequency, irradance"
25.0,AC/DC transconductance amplifier,"DC current: 0 A to 100 A
AC current: 500 mA to 100 A  
Frequency 10 Hz to 100 kHz",27 mA/A to 87 mA/A,"91,250 / item",For AC and DC output,09020-10615,Electrical  Metrology Department,91250.0,Electrical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
26.0,DC Standard Resistor,1 kW,0.04 mW/W,"42,500/item","Compared against QHR standard 
maintain by NIMT using automatic  resistance bridge.",09030-10210,Electrical  Metrology Department,42500.0,Electrical  Metrology Department,4,"standard, solution, mass, set, ph"
27.0,Standard Resistor 1 W,1 W at 50 mA,? 0.21 mW/W,"8,625/piece",Used a group of 1 W standard.,09030-10211,Electrical  Metrology Department,8625.0,Electrical  Metrology Department,4,"standard, solution, mass, set, ph"
28.0,Standard Resistor 10 kW,10 kW at 0.3 mA ,? 1.4 mW/W,"8,625/piece",Used a group of 10 kW standard.,09030-10212,Electrical  Metrology Department,8625.0,Electrical  Metrology Department,4,"standard, solution, mass, set, ph"
29.0,Standard Resistor 100 mW,100 ?? at 200 A,As Specification,"10,000/piece",Used DCC bridge and 400 Amp range extender.,09030-10213,Electrical  Metrology Department,10000.0,Electrical  Metrology Department,4,"standard, solution, mass, set, ph"
30.0,"Standard Resistor 
(Calibrate in oil or in air)",1 mW to 10 kW,As specification,"6,750/item","Used DCC bridge and 100 Amp 
range extender.",09030-10214,Electrical  Metrology Department,6750.0,Electrical  Metrology Department,4,"standard, solution, mass, set, ph"
34.0,"Standard Resistor 
(Calibrate in oil or in air)",1 TW to 100 TW,>1.25 mW/W to 24.4 mW/W,"7,880/item","Using Dual Source High Resistance 
Ratio Bridge",09030-10215,Electrical  Metrology Department,7880.0,Electrical  Metrology Department,4,"standard, solution, mass, set, ph"
32.0,"Standard Resistor 
(Calibrate in oil or in air)",>10 kW to 1GW,£ 500 mW/W,"7,880/item",Using Automatic High Resistance Bridge,09030-10215,Electrical  Metrology Department,7880.0,Electrical  Metrology Department,4,"standard, solution, mass, set, ph"
33.0,"Standard Resistor 
(Calibrate in oil or in air)",1 GW to 1 TW,37 µW/W to 1.25 mW/W,"7,880/item","Using Dual Source High Resistance 
Ratio Bridge",09030-10215,Electrical  Metrology Department,7880.0,Electrical  Metrology Department,4,"standard, solution, mass, set, ph"
35.0,"Standard Resistor 
(Calibrate in oil or in air)",0 W to 1 TW,As specification,"2,250/point test",,09030-10216,Electrical  Metrology Department,2250.0,Electrical  Metrology Department,4,"standard, solution, mass, set, ph"
36.0,"Standard Resistor 
(Calibrate in oil or in air)","10 TW at 100 V, 200 V
500 V and 1000 V",3 mW/W,"2,250/point test",,09030-10217,Electrical  Metrology Department,2250.0,Electrical  Metrology Department,4,"standard, solution, mass, set, ph"
39.0,High Resistance Meter,Upto  100 TW,As specification,"2,250 / point",Direct,09030-10220,Electrical  Metrology Department,2250.0,Electrical  Metrology Department,7,"meter, power, phase, ac, wattmeter"
40.0,Digital Thermometer (indicator),up to 10 MW /DCI 0 - 100 mA ,£ 5 mW/W  /£ 60 mW/W ,"(22,500 to 29,250)/item",,09030-10221,Electrical  Metrology Department,22500.0,Electrical  Metrology Department,5,"digital, dna, analog, plasmid, dial"
41.0,Digital Thermometer (indicator),up to 10 MW / DCV 0 -100 mV,³ 5 mW/W  / ³ 20 mW/W,"(9,000 to 18,000)/item",,09030-10222,Electrical  Metrology Department,9000.0,Electrical  Metrology Department,5,"digital, dna, analog, plasmid, dial"
42.0,Low Resistance meter,"Range 1 kW 
maximum Current 0.5 A
Range 100 W
maximum Current 1 A
Range 10 W
maximum Current 5 A
Range 1 W
maximum Current 10 A
Range 0.1 W
maximum Current 20 A
Range 0.01 W
maximum Current 30 A
Range 1 mW
maximum Current 100 A",As Specification,"2,250 / point",Direct measurement,09030-10223,Electrical  Metrology Department,2250.0,Electrical  Metrology Department,7,"meter, power, phase, ac, wattmeter"
43.0,High Resistance Meter,"Test Voltage: maximum  5000 V
Range 10 MW, 20 MW and 50 MW
Range 100 MW, 200 MW and 500 MW
Range 1 GW, 2 GW and 5 GW
Range 10 GW, 20 GW and 50 GW
Range 100 GW, 200 GW and 500 GW",As Specification,"2,250 / point",,09030-10224,Electrical  Metrology Department,2250.0,Electrical  Metrology Department,7,"meter, power, phase, ac, wattmeter"
44.0,"Low Resistance meter
(High Current)",":100 mW, 200 mW, 400 nW, 600 mW and
 800 mW@ Max.120 A
: 1 mW, 2 mW, 4 mW, 6 mW and 8 mW
@ Max 100 A
: 10 mW, 20 mW, 40 mW, 60 mW and 80 mW
@ Max 60 A
: 0.1 W, 0.2 W, 0.4 W , 0.6 W and 0.8 W
@ Max 10 A
: 1 W, 2 W, 4 W, 6 W, 8 W and 16 W
@ Max 1 A 
: 40 W, 80 W
@ Max 1 A",As Specification,"2,250 / point",,09030-10225,Electrical  Metrology Department,2250.0,Electrical  Metrology Department,7,"meter, power, phase, ac, wattmeter"
