ลำดับที่,วงเงินช่วยเหลือ,หน่วย,วันที่เกิดภัย,วันที่สิ้นสุดภัย,ที่เกิดภัยธรรมชาติ,ผู้ประสบภัย,ผู้ได้รับการช่วยเหลือ,อยู่ระหว่างดำเนินการ,หน่วยวัด,ที่มา
165,"2,341.00",บาท,5-พ.ย.-65,23-พ.ย.-65,ต.ดอนทราย,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
166,"4,048.00",บาท,5-พ.ย.-65,7-พ.ย.-65,ต.ควนขนุน,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
167,"216,715.00",บาท,5-เม.ย.-65,7-พ.ย.-65,ต.แหลมโตนด,21,21,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
168,"1,400,000.00",บาท,5-เม.ย.-65,7-พ.ย.-65,ต.ทะเลน้อย,36,36,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
169,"1,040,000.00",บาท,5-เม.ย.-65,7-พ.ย.-65,ต.พนางตุง,16,16,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
170,"5,618.40",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.พนางตุง,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
171,"2,709.00",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.โคกสัก,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
172,"20,225.98",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.ท่ามะเดื่อ,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
173,"9,972.66",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.คลองใหญ่,4,4,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
174,"1,170.50",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.ตะโหมด,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
175,"443,343.66",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.แม่ขรี,24,24,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
176,"4,294.32",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.เขาชัยสน,6,6,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
177,"471,889.45",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.พญาขัน,61,61,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
178,"5,025.00",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.สมหวัง,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
179,"1,012.00",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.จองถนน,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
180,"6,700.00",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.ควนขนุน,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
181,"808,925.00",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.ทะเลน้อย,34,34,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
182,"314,625.00",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.แหลมโตนด,23,23,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
183,"798,985.00",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.ปันแต,78,78,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
184,"8,710.00",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.โตนดด้วน,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
185,"90,115.00",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.มะกอกเหนือ,12,12,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
186,"1,464,749.00",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.พนางตุง,90,90,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
187,"35,845.00",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.ดอนประดู่,5,5,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
188,"3,511.50",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.พญาขัน,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
189,"1,732.34",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.ชัยบุรี,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
190,"42,506.00",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.ลำปำ,10,10,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
191,"42,506.00",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.ลำปำ,10,10,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
192,"5,618.40",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.ควนขนุน,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
193,"13,250.06",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.โตนดด้วน,4,4,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
194,"2,341.00",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.แพรกหา,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
195,"7,391.00",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.จองถนน,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
196,"5,926.46",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.โคกม่วง,8,8,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
197,"947,600.00",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.เกาะนางคำ,38,38,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
198,"17,557.50",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.ฝาละมี,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
199,"29,000.00",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.โคกสัก,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
200,"4,048.00",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.ควนขนุน,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
201,"15,000.00",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.คลองเฉลิม,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
202,"2,024.00",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.โคกม่วง,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
203,"2,341.00",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.ดอนทราย,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
204,"815,390.00",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.พนางตุง,76,76,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
205,"239,123.00",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.ปรางหมู่,22,22,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
206,"695,572.90",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.ชัยบุรี,83,83,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
207,"334,345.05",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.ลำปำ,53,53,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
208,"37,970.00",บาท,25-ก.พ.-65,27-ก.พ.-65,ต.นาปะขอ,4,4,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
209,702.3,บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.แพรกหา,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
210,"33,142.00",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.โคกชะงาย,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
211,"17,416.04",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.นาโหนด,4,4,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
212,"23,996.05",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.ชัยบุรี,4,4,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
213,"3,465.00",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.ตำนาน,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
214,"1,264.14",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.ดอนทราย,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
215,"76,062.99",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.ชัยบุรี,14,14,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
216,"84,784.46",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.ลำปำ,20,20,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
217,"7,397.56",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.ปันแต,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
218,"1,170.50",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.พนางตุง,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
219,"19,125.97",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.คลองเฉลิม,7,7,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
220,"55,000.00",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.คลองเฉลิม,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
221,"57,000.00",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.คลองทรายขาว,4,4,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
222,"20,000.00",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.กงหรา,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
223,"5,388.00",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.นาขยาด,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
224,"12,144.00",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.นาโหนด,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
225,"14,168.00",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.พญาขัน,5,5,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
226,"9,045.00",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.พนมวังก์,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
227,"78,055.00",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.มะกอกเหนือ,10,10,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
228,"1,485.00",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.คลองเฉลิม,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
229,"12,144.00",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.คลองทรายขาว,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
230,"336,201.00",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.ดอนประดู่,31,31,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
231,"17,755.00",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.หารเทา,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
232,"3,960.00",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.เขาย่า,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
233,"3,982.00",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.เขาปู่,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
234,"22,707.70",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.ตำนาน,4,4,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
235,"7,728.00",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.ท่ามิหรำ,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
236,"338,418.64",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.พญาขัน,64,64,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
237,889.58,บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.โคกม่วง,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
238,"1,170.50",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.ควนขนุน,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
239,"2,983.36",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.หานโพธิ์,6,6,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
240,"3,979.70",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.สมหวัง,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
241,"34,780.70",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.ชะรัด,18,18,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
242,"2,709.00",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.ดอนทราย,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
243,"5,317.80",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.ลำสินธุ์,5,5,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
244,"6,000.00",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.ชุมพล,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
245,"12,557.12",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.ปรางหมู่,5,5,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
246,"25,212.00",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.ลำปำ,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
247,"7,391.00",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.ควนมะพร้าว,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
248,"15,497.42",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.อ่างทอง,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
249,"44,990.38",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.ชุมพล,14,14,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
250,"17,417.04",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.เขาย่า,16,16,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
251,"4,347.70",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.เขาปู่,6,6,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
252,"1,538.50",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.ตะแพน,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
253,"4,000.00",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.โคกชะงาย,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
254,"15,000.00",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.อ่างทอง,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
255,"50,000.00",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.ลำสินธุ์,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
256,"12,060.00",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.ควนขนุน,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
257,"16,080.00",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.จองถนน,4,4,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
258,"2,341.00",บาท,28-พ.ย.-64,3-ธ.ค.-64,ต.เขาเจียก,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
259,"13,635.00",บาท,1-ม.ค.-64,30-ม.ค.-64,ต.นาโหนด,6,6,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
260,"50,085.00",บาท,1-ม.ค.-64,30-ม.ค.-64,ต.ชัยบุรี,13,13,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
261,"1,670.00",บาท,1-ม.ค.-64,30-ม.ค.-64,ต.โคกชะงาย,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
262,"15,026.00",บาท,1-ม.ค.-64,30-ม.ค.-64,ต.วังใหม่,4,4,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
263,"361,725.00",บาท,1-ม.ค.-64,30-ม.ค.-64,ต.มะกอกเหนือ,65,65,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
264,"104,951.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ควนมะพร้าว,25,25,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
265,"27,186.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.โคกชะงาย,5,5,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
266,"5,047.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.แพรกหา,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
267,"4,225.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.บ้านนา,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
268,"4,984,381.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.เกาะนางคำ,145,145,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
269,"364,610.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.เกาะหมาก,9,9,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
270,"2,113.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ดอนทราย,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
271,"19,013.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ดอนประดู่,5,5,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
272,"108,586.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ปากพะยูน,8,8,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
273,"623,996.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ฝาละมี,43,43,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
274,"31,496.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.หารเทา,12,12,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
275,"20,000.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ท่าแค,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
276,"25,175.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ชะรัด,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
277,"50,750.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.คลองเฉลิม,8,8,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
278,"6,000.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.สมหวัง,25,25,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
279,"44,000.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ควนขนุน,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
280,"19,175.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.เขาชัยสน,4,4,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
281,"86,605.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ปากพะยูน,35,35,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
282,"62,025.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ทุ่งนารี,8,8,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
283,"101,885.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.วังใหม่,18,18,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
284,"93,225.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ท่ามะเดื่อ,18,18,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
285,"627,245.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.นาปะขอ,99,99,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
286,"135,875.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.โคกสัก,18,18,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
287,"85,910.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ป่าพะยอม,11,11,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
288,"10,550.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.บ้านพร้าว,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
289,"12,000.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ลานข่อย,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
290,"43,370.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.คูหาสวรรค์,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
291,"1,479.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.เขาเจียก,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
292,"160,329.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ชัยบุรี,49,49,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
293,"104,951.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ควนมะพร้าว,25,25,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
294,"7,179.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ดอนทราย,6,6,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
295,"17,661.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.แหลมโตนด,8,8,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
296,"12,886.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.พนมวังก์,5,5,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
297,"28,308.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.พนางตุง,12,12,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
298,"121,634.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.มะกอกเหนือ,55,55,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
299,"3,484.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.อ่างทอง,5,5,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
300,"8,450.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.เขาปู่,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
301,"35,744.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.เขาย่า,24,24,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
302,"81,640.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.โคกชะงาย,10,10,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
303,"15,000.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ตำนาน,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
304,"47,000.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.กงหรา,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
305,"171,150.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.พนางตุง,19,19,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
306,"117,755.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.มะกอกเหนือ,23,23,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
307,"27,700.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.พนมวังก์,4,4,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
308,"14,000.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ดอนทราย,5,5,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
309,"173,350.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ควนขนุน,12,12,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
310,"50,086.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.โตนดด้วน,17,17,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
311,"42,369.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.นาขยาด,19,19,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
312,"36,089.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ปันแต,18,18,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
313,"63,595.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ควนมะพร้าว,15,15,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
314,"73,062.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ควนขนุน,35,35,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
315,"54,015.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ชุมพล,26,26,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
316,"5,915.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ชุมพล,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
317,"2,746.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ตะแพน,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
318,"81,050.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ชะมวง,5,5,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
319,"55,000.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.โตนดด้วน,4,4,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
320,"37,150.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.แพรกหา,8,8,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
321,"465,900.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ทะเลน้อย,27,27,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
322,"118,410.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.หารเทา,38,38,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
323,"39,385.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ดอนทราย,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
324,"229,210.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ฝาละมี,60,60,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
325,"155,760.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.เกาะหมาก,15,15,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
326,"196,190.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.เกาะนางคำ,32,32,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
327,"84,695.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ดอนประดู่,29,29,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
328,"183,535.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ป่าบอน,54,54,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
329,"248,415.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.โคกทราย,130,130,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
330,"156,895.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.หนองธง,67,67,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
331,"231,120.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ลำปำ,24,24,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
