จังหวัด,เกษตรกรผู้เลี้ยงสัตว์ทั้งหมด(ครัวเรือน),โคพื้นเมืองเพศผู้(ตัว),โคพื้นเมืองเพศเมีย แรกเกิดถึงโคสาว(ตัว),โคพื้นเมืองเพศเมีย ตั้งท้องแรกขึ้นไป(ตัว),รวมโคพื้นเมือง(ตัว),เกษตรกรผู้เลี้ยงโคพื้นเมือง(ครัวเรือน),โคพันธุ์และโคลูกผสมเพศผู้(ตัว),โคพันธุ์และโคลูกผสมเพศเมีย แรกเกิดถึงโคสาว(ตัว),โคพันธุ์และโคลูกผสมเพศเมีย ตั้งท้องแรกขึ้นไป(ตัว),รวมโคพันธุ์และโคลูกผสม(ตัว),เกษตรกรผู้เลี้ยงโคพันธุ์และโคลูกผสม(ครัวเรือน),โคขุน(ตัว),เกษตรกรผู้เลี้ยงโคขุน(ครัวเรือน),โคเนื้อทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงโคเนื้อทั้งหมด(ครัวเรือน),โคนมเพศผู้(ตัว),โคนมเพศเมียแรกเกิดถึง 1 ปี (ตัว),โคนมเพศเมีย1 ปี ถึงตั้งท้องแรก (ตัว),โคนมเพศเมียกำลังรีดนม(ตัว),โคนมเพศเมียแห้งนม(ตัว),รวมโคนมเพศเมีย(ตัว),รวมโคนมทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงโคนมทั้งหมด(ครัวเรือน),กระบือเพศผู้(ตัว),กระบือเพศเมียแรกเกิดถึงกระบือสาว(ตัว),กระบือเพศเมียตั้งท้องแรกขึ้นไป(ตัว),กระบือเพศเมียทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงกระบือ(ครัวเรือน),สุกรพื้นเมือง(ตัว),เกษตรกรผู้เลี้ยงสุกรพื้นเมือง(ครัวเรือน),สุกรพ่อพันธุ์(ตัว),สุกรแม่พันธุ์(ตัว),เกษตรกรผู้เลี้ยงสุกรพันธุ์(ครัวเรือน),สุกรขุน(ตัว),ลูกสุกรขุน(ตัว),เกษตรกรผู้เลี้ยงสุกรขุน(ครัวเรือน),สุกรทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงสุกรทั้งหมด(ตัว),ไก่พื้นเมือง(ตัว),เกษตรกรผู้เลี้ยงไก่พื้นเมือง(ครัวเรือน),ไก่เนื้อ(ตัว),เกษตรกรผู้เลี้ยงไก่เนื้อ(ครัวเรือน),ไก่ไข่(ตัว),เกษตรกรผู้เลี้ยงไก่ไข่(ครัวเรือน),ไก่เนื้อพันธุ์(ตัว),เกษตรกรผู้เลี้ยงไก่เนื้อพันธุ์(ครัวเรือน),ไก่ไข่พันธุ์(ตัว),เกษตรกรผู้เลี้ยงไก่ไข่พันธุ์(ครัวเรือน),ไก่ทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงไก่ทั้งหมด(ครัวเรือน),เป็ดเทศ(ตัว),เกษตรกรผู้เลี้ยงเป็ดเทศ(ครัวเรือน),เป็ดเนื้อ(ตัว),เกษตรกรผู้เลี้ยงเป็ดเนื้อ(ครัวเรือน),เป็ดไข่(ตัว),เกษตรกรผู้เลี้ยงเป็ดไข่(ครัวเรือน),เป็ดเนื้อไล่ทุ่ง(ตัว),เกษตรกรผู้เลี้ยงเป็ดเนื้อไล่ทุ่ง(ครัวเรือน),เป็ดไข่ไล่ทุ่ง(ตัว),เกษตรกรผู้เลี้ยงเป็ดไข่ไล่ทุ่ง(ครัวเรือน),เป็ดทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงเป็ดทั้งหมด(ครัวเรือน),แพะเนื้อเพศผู้(ตัว),แพะเนื้อเพศเมีย(ตัว),เกษตรกรผู้เลี้ยงแพะเนื้อ(ครัวเรือน),แพะนมเพศผู้(ตัว),แพะนมเพศเมีย(ตัว),เกษตรกรผู้เลี้ยงแพะนม(ครัวเรือน),แพะทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงแพะทั้งหมด(ครัวเรือน),แกะเพศผู้(ตัว),แกะเพศเมีย(ตัว),แกะทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงแกะทั้งหมด(ครัวเรือน),ลา(ตัว),เกษตรกรผู้เลี้ยงลา(ครัวเรือน),ล่อ(ตัว),เกษตรกรผู้เลี้ยงล่อ(ครัวเรือน),ช้าง(ตัว),เกษตรกรผู้เลี้ยงช้าง(ครัวเรือน),ม้า(ตัว),เกษตรกรผู้เลี้ยงม้า(ครัวเรือน),ห่าน(ตัว),เกษตรกรผู้เลี้ยงห่าน(ครัวเรือน),ไก่งวง(ตัว),เกษตรกรผู้เลี้ยงไก่งวง(ครัวเรือน),นกกระทาพันธุ์เนื้อ(ตัว),เกษตรกรผู้เลี้ยงนกกระทาพันธุ์เนื้อ(ครัวเรือน),นกกระทาพันธุ์ไข่(ตัว),เกษตรกรผู้เลี้ยงนกกระทาพันธุ์ไข่(ครัวเรือน),นกกระจอกเทศ(ตัว),เกษตรกรผู้เลี้ยงนกกระจอกเทศ(ครัวเรือน),นกอีมู(ตัว),เกษตรกรผู้เลี้ยงนกอีมู(ครัวเรือน),กวาง(ตัว),เกษตรกรผู้เลี้ยงกวาง(ครัวเรือน),อูฐ(ตัว),เกษตรกรผู้เลี้ยงอูฐ(ครัวเรือน),หมูป่า(ตัว),เกษตรกรผู้เลี้ยงหมูป่า(ครัวเรือน),นก/สัตว์ปีกสวยงาม(ตัว),เกษตรกรผู้เลี้ยงนก/สัตว์ปีกสวยงาม(ครัวเรือน),สัตว์ปีกอื่นๆ(ตัว),เกษตรกรผู้เลี้ยงสัตว์ปีกอื่นๆ(ครัวเรือน)
กาฬสินธุ์,77680,5379,16285,8399,30063,7163,4140,11130,10556,25826,7697,213,77,56102,14702,6,90,94,145,20,349,355,23,3687,7074,4728,15489,3700,7703,1155,731,4998,1645,21594,11951,1523,46977,3173,1497854,65275,83374,563,53185,1050,4657,415,12366,612,1651436,66082,104043,8803,8653,598,36185,1745,6590,70,51189,65,206660,10409,161,242,17,60,,5,463,22,17,18,35,3,,,,,,,22,10,1178,282,1367,149,4928,13,7958,9,,,2,2,,,,,569,117,1023,248,664,45
สกลนคร,103130,20701,27961,20464,69126,16027,21230,32409,24885,78524,18696,2521,735,150171,33774,226,782,844,1609,285,3520,3746,151,20572,24111,16578,61261,14389,28315,4102,4685,7584,2787,22338,13101,1533,76023,6736,1643812,71616,187039,2884,81591,2032,13771,890,9087,821,1935300,73769,234163,18753,17804,1001,9791,809,230,20,104,8,262092,19729,116,233,21,12,5,3,366,23,20,21,41,2,,,,,,,37,8,1252,301,1221,173,503,2,750,3,,,,,,,,,181,55,635,141,436,100
นครพนม,52549,13588,23445,15577,52610,12170,4190,11029,9432,24651,6370,5296,1644,82557,17540,,,,,,,,,12481,23013,15794,51288,11359,17092,2045,2143,10656,1991,24521,36551,2066,90963,4931,795617,36533,22729,282,319857,399,936,69,707,68,1139846,36934,100758,7835,12410,1154,2488,157,44,6,6,1,115706,8991,9,13,5,,,,22,5,42,10,52,2,,,,,,,23,7,594,179,14485,1160,21,7,300,5,2,1,,,33,2,,,94,18,406,93,232,25
มุกดาหาร,22567,8339,15821,8329,32489,8962,2008,4990,3319,10317,3510,441,119,43247,11797,6,,,,,,6,1,3762,6209,2945,12916,3862,5317,936,640,2341,860,12745,2997,839,24040,1935,477225,17455,73575,67,2963,258,6526,29,691,24,560980,17549,42756,2809,2832,88,2878,127,51,8,19,3,48536,2966,10,32,6,,,,42,6,,,,,,,,,,,9,3,341,78,1534,88,9,3,,,,,,,100,1,,,54,14,162,57,71,14
เชียงใหม่,93800,59296,52593,29883,141772,15093,2972,5233,5168,13373,2277,382,70,155527,17289,219,7510,9813,18851,3794,39968,40187,1070,13350,13107,10952,37409,4191,76674,10954,2540,15971,1642,283924,55975,3339,435084,15481,2482894,65556,1509613,1125,2967290,864,9990,139,127894,151,7097681,67001,44235,2047,6451,183,15356,420,172,7,346,16,66560,2617,242,444,39,159,244,10,1089,46,63,117,180,18,107,19,2,2,461,29,82,29,1376,91,336,27,5082,11,32709,60,1003,2,1,1,29,4,,,93,20,13507,270,1752,251
ลำพูน,38245,8436,12024,4556,25016,1499,686,1265,1027,2978,383,76,14,28070,1796,116,4307,5180,8431,1452,19370,19486,451,1010,1418,886,3314,306,5772,1105,366,9340,280,123433,45558,452,184469,1669,1453171,32859,1858892,136,641257,123,296595,78,93012,2,4342927,33015,6648,148,975,33,7447,120,,,,,15070,267,79,297,15,2,43,3,421,18,13,39,52,5,1,1,1,1,,,17,5,55,11,90,1,,,3500,1,,,,,,,,,1,1,30,8,24,6
ลำปาง,50429,27454,29804,15632,72890,7080,6919,9081,8711,24711,2401,905,228,98506,9475,168,641,434,1004,260,2339,2507,52,3162,3799,2453,9414,961,23882,1531,2896,10547,978,62958,12011,1812,112294,3606,1440442,43463,1163835,741,394118,412,85395,59,139375,34,3223165,44107,7472,451,915,67,7111,233,40,6,10,4,15548,704,820,1013,29,37,77,4,1947,31,250,329,579,11,,,,,86,50,128,22,298,61,36,4,11,2,1605,4,,,,,106,3,10,1,33,9,134,35,235,96
แพร่,26124,2933,4661,3546,11140,979,1920,4100,4208,10228,945,170,41,21538,1845,,56,67,124,30,277,277,12,788,2195,1807,4790,407,2669,310,1301,2672,704,49008,4109,906,59759,1479,946743,21798,259240,79,409812,117,40,1,10,1,1615845,21866,5328,369,213,4,4058,10,,,2,1,9601,381,32,69,5,,,,101,5,5,22,27,1,2,1,4,2,4,2,14,6,15,3,56,6,,,,,,,,,56,1,,,6,1,44,12,15,4
น่าน,54302,8172,8543,5940,22655,3863,2280,5017,3178,10475,2308,248,121,33378,5930,1,13,,22,,35,36,4,2967,4046,2298,9311,1760,12625,3075,987,6696,1827,25983,7383,2070,53674,5904,1589016,48571,87415,161,88617,363,3873,35,1656,92,1770577,48782,38081,3210,2418,181,3251,231,44,4,64,3,43858,3531,169,312,74,15,49,8,545,81,24,47,71,1,,,,,,,62,14,479,111,282,37,,,8605,18,,,,,,,,,16,6,818,146,70,18
พะเยา,47801,6200,5339,3980,15519,2347,7456,6462,6867,20785,2912,657,103,36961,4010,7,64,33,122,18,237,244,22,2443,1957,1404,5804,614,6590,1152,557,2772,487,12281,6493,1220,28693,2467,1396795,43710,132262,78,141793,105,906,24,503,14,1672259,43816,33087,2170,813,42,6674,130,285,14,425,19,41284,2312,190,234,14,3,9,1,436,15,150,158,308,3,,,,,,,39,11,76,16,13,3,1,1,562,3,,,,,190,4,,,1,1,220,43,74,23
เชียงราย,93562,4704,7213,5260,17177,2480,1844,4647,4410,10901,1807,124,25,28202,4109,58,958,1201,1950,386,4495,4553,136,2272,3481,2619,8372,1102,22334,3817,2007,16696,2930,58060,30593,3677,129690,8115,2417682,73041,438195,74,1230823,176,7050,2,32,1,4093782,73241,70650,4264,2428,141,41830,1459,,,,,114908,5640,331,732,52,17,6,2,1086,52,139,304,443,18,,,,,25,18,121,31,1007,220,426,59,33,5,19387,19,63,3,,,68,2,,,196,26,1429,317,447,66
แม่ฮ่องสอน,13274,10456,8539,6592,25587,3283,97,95,5,197,46,9,1,25793,3317,,5,2,,,7,7,2,4612,3556,2575,10743,1844,29130,5818,405,309,172,1328,398,140,31570,6035,293255,11520,538,38,20133,11,50,3,1378,9,315354,11556,5025,351,69,7,84,6,,,,,5178,362,259,356,53,5,8,3,628,56,11,16,27,2,,,,,1,1,,,,,,,,,50,1,,,,,,,,,2,1,18,12,34,10
อุตรดิตถ์,32228,2784,3557,2544,8885,885,5747,4729,6350,16826,1623,84,27,25795,2525,2,1,1,20,1,23,25,5,3074,3160,3819,10053,967,1038,219,1000,4364,613,58574,7884,1147,72860,1500,704310,27028,241589,154,1137260,81,219,4,275,3,2083653,27118,5541,469,3579,12,4100,41,4043,5,118041,51,135304,563,253,424,19,,,,677,19,57,165,222,5,,,,,,,9,4,77,18,85,8,,,4000,2,,,,,,,,,16,5,386,78,386,104
นครสวรรค์,41955,2801,4707,2599,10107,668,7073,6620,10268,23961,1361,942,56,35010,2072,33,210,369,554,130,1263,1296,46,515,936,948,2399,166,217,15,1500,18950,732,130394,49102,959,200163,1263,1216318,31032,7217813,206,1450790,1530,122766,13,679,45,10008366,31731,29486,1675,3153,76,149262,1523,9446,6,730566,245,921913,3254,1434,4482,98,22,362,3,6300,100,333,1226,1559,21,,,,,,,63,8,1218,275,188,36,2,2,15030,3,6,2,,,43,3,,,73,20,2516,416,990,161
อุทัยธานี,25045,2010,3569,2674,8253,517,1281,2199,2178,5658,369,101,7,14012,886,3,22,13,22,2,59,62,3,4145,5780,5120,15045,1094,1226,36,110,2373,383,29051,4005,561,36765,713,768307,19214,1811759,160,49804,1123,60,2,287,9,2630217,19669,13413,777,1028,53,135110,1690,5035,5,169745,74,324331,2410,1106,2618,65,22,29,3,3775,66,95,5,100,5,1,1,,,,,35,5,227,47,129,15,5,3,41,2,,,,,,,,,35,5,382,48,729,58
กำแพงเพชร,41342,3704,3246,1008,7958,440,1539,2648,2203,6390,277,3770,72,18118,706,3,7,,,,7,10,3,1141,1696,772,3609,166,2449,171,1796,16883,502,81011,277580,1645,379719,1845,1435088,34752,1529473,483,224038,412,66362,9,200,13,3255161,35212,22267,1051,1287,89,31385,454,24135,14,321401,130,400475,1617,404,886,20,22,16,3,1328,21,312,45,357,6,,,,,,,8,3,182,33,38,6,,,,,,,,,,,1,1,33,8,335,151,307,104
ตาก,26882,47406,44733,9384,101523,7071,3120,3644,1846,8610,667,2534,248,112667,7647,6,43,3,,,46,52,8,4734,4284,1326,10344,1135,29966,6239,1086,2657,745,10804,10528,1080,55041,7632,543219,18879,141003,667,35069,745,59077,321,9353,98,787721,20305,13907,1453,2727,285,3637,366,350,34,82,9,20703,1968,1389,2139,160,,,,3528,160,35,94,129,8,,,13,2,72,50,136,50,279,61,130,21,2,2,1003,3,,,,,,,,,57,19,500,137,87,19
สุโขทัย,35104,8299,3775,990,13064,1222,12504,5688,4327,22519,2129,3912,446,39495,3770,48,410,509,809,177,1905,1953,65,1105,923,493,2521,228,1573,145,640,4498,795,30358,5126,1504,42195,2109,993189,31509,117790,38,9890,97,32,2,9267,4,1130168,31573,8377,588,13532,310,26255,438,11,2,150494,31,198669,1345,540,1205,35,,,,1745,35,,,,,2,1,,,10,3,19,2,191,41,166,12,6,2,1710,5,,,,,5,1,,,19,2,2398,317,3029,479
พิษณุโลก,51860,6363,7570,3210,17143,1915,4695,4538,3816,13049,1236,393,73,30585,3131,5,15,54,43,,112,117,2,3833,4257,1940,10030,1194,8367,723,1062,19236,1800,61611,15658,1951,105934,3365,1381212,36506,709689,292,253553,402,106243,96,8600,181,2459297,37006,37070,1941,9626,105,56308,481,78991,39,353203,150,535198,2626,1069,3573,84,,10,1,4652,85,33,193,226,3,,,,,12,1,51,15,988,182,496,54,66,3,1798,10,,,,,195,2,,,259,31,2652,804,937,125
พิจิตร,27908,10,80,16,106,9,2087,3487,3131,8705,600,495,29,9306,631,31,68,140,182,55,445,476,14,649,1297,1410,3356,245,,,181,4324,668,30916,4025,839,39446,1203,1213894,25413,1051440,99,639842,268,62,3,126,5,2905364,25587,32903,1473,3821,128,38345,648,6670,3,817007,252,898746,2437,445,1742,49,15,64,2,2266,50,246,383,629,15,,,,,,,105,18,825,134,79,15,10,1,27450,8,2465,1,,,41,2,,,96,5,1695,256,1329,183
เพชรบูรณ์,46200,2071,5804,2318,10193,826,5743,6444,8009,20196,1996,1900,124,32289,2873,53,382,670,724,213,1989,2042,64,559,856,716,2131,221,1213,89,251,2906,736,22290,5422,889,32082,1236,981599,38560,3518047,218,29893,312,306445,52,64345,22,4900329,38851,123098,1802,162619,60,4704,242,2002,2,60,1,292483,2041,2215,6046,162,8,83,2,8352,162,165,676,841,21,3,1,,,,,129,3,311,68,360,45,,,10,1,6,2,,,103,5,,,77,9,549,136,547,78
ราชบุรี,28509,14549,14826,17318,46693,5069,9167,12014,23803,44984,4707,4869,239,96546,9155,745,8144,10611,24203,4152,47110,47855,2175,139,106,238,483,67,573,126,4539,164349,680,1026208,559656,1185,1755325,1461,482100,15979,9877260,230,135864,271,703297,21,501011,15,11699532,16375,9865,631,607165,188,57902,550,110,7,3500,2,678542,1338,3926,13509,685,137,733,33,18305,706,183,527,710,22,2,2,,,38,3,219,39,170,39,21,7,6005,2,190300,3,,,,,48,3,10,1,14,2,950,151,153,26
กาญจนบุรี,35107,23298,30234,32020,85552,4593,14544,28479,22581,65604,4207,47923,2747,199079,11090,1305,3400,4633,12342,3529,23904,25209,998,1589,2501,2604,6694,496,2419,317,777,21322,1107,209109,42074,1467,275701,2377,731646,26315,23889023,703,607212,438,1197329,42,1303430,26,27728640,27181,14659,971,260377,321,13891,663,20125,18,208570,36,517622,1841,8290,22592,640,307,649,25,31838,659,2602,7265,9867,119,2,1,1,1,138,9,194,30,383,84,100,10,1,1,80001,3,30,1,,,453,3,1,1,133,6,1131,260,1725,79
สุพรรณบุรี,36374,5789,5806,3973,15568,899,11815,28924,31879,72618,3392,34651,729,122837,4583,22,300,219,280,107,906,928,23,509,990,996,2495,176,3806,160,1280,21878,524,253833,34399,1006,315196,1275,1083703,25784,9451027,338,2902421,513,6001,2,51613,7,13494765,26582,38521,1537,42127,103,995396,1102,5422,4,1068548,343,2150014,2984,2385,11917,275,44,656,14,15002,282,97,492,589,16,15,1,,,15,1,61,7,186,43,13,2,1,1,1120200,25,60,1,8,2,10,1,,,11,2,1009,239,150257,33
นครปฐม,18432,4124,4383,6491,14998,1060,6469,7466,11430,25365,1548,5787,120,46150,2498,2293,3654,4043,9664,2166,19527,21820,784,150,137,193,480,38,641,44,1099,20810,536,143634,47326,614,213510,814,585716,11924,5825860,457,4648219,388,57754,13,93001,2,11210550,12485,21369,359,1492048,391,475057,581,15030,10,155380,27,2158884,1247,1836,7452,128,43,223,9,9554,136,234,800,1034,19,,,,,33,2,160,20,22991,80,10,3,12,2,115660,5,4,2,,,6,1,,,64,10,2215,91,643,50
สมุทรสาคร,2770,71,353,8,432,29,25,12,33,70,6,,,502,34,,,,,,,,,2,3,8,13,4,80,33,1,4,3,14,37,4,136,36,53685,2142,6180,6,6234,238,41000,2,72503,4,179602,2315,4396,207,837,13,6300,226,,,,,11533,420,230,863,55,11,14,3,1118,58,1,5,6,1,,,,,,,3,1,523,35,3,1,,,285,3,,,,,,,,,2,1,928,122,937,49
สมุทรสงคราม,4567,205,308,113,626,47,15,23,3,41,19,7,1,674,51,,,,,,,,,1,,2,3,2,12,2,15,352,7,224,783,9,1386,13,19162,1907,467,49,40257,188,33,9,7694,175,67613,2254,108,24,175,25,2940,226,2,1,,,3225,271,82,277,15,4,6,1,369,16,4,3,7,2,2,1,,,,,7,1,89,31,7,1,5,2,102,2,20,1,,,,,,,12,4,4010,761,6853,1384
เพชรบุรี,15855,34975,21042,25423,81440,7360,12635,7300,10435,30370,3103,10193,582,122003,9633,525,1572,1725,5293,873,9463,9988,247,107,77,102,286,68,877,65,357,6787,302,47385,8641,484,64047,696,286981,10087,1480939,92,287844,179,57,3,5,1,2055826,10216,7715,427,18697,116,82100,560,11564,9,67906,35,187982,1078,3752,9112,331,102,296,14,13262,342,91,211,302,9,6,1,25,1,,,144,42,156,53,17,5,2002,2,100,1,,,5,1,25,2,12,2,285,43,2266,472,456,66
ประจวบคีรีขันธ์,23571,9454,9345,6607,25406,2860,16024,20833,30809,67666,6954,16620,215,109692,9283,1819,4294,5095,19530,2224,31143,32962,897,493,166,90,749,83,2343,294,698,7969,868,34001,27468,924,72479,1513,484613,12111,687446,141,84962,286,240,12,525,16,1257786,12369,9423,425,2797,88,37649,206,,,30,2,49899,661,9239,25088,916,79,370,19,34776,930,69,206,275,11,2,2,2,2,3,2,316,18,398,54,45,9,28,12,10200,13,40,5,130,3,253,6,,,108,14,5114,1021,2027,213
นครศรีธรรมราช,78717,50679,35566,30469,116714,27037,3467,2564,2436,8467,2587,897,239,126078,28294,22,,4,,8,12,34,1,543,720,554,1817,199,17109,1830,2712,17444,3015,112133,57157,4733,206555,6860,2173780,58128,1338962,1590,596945,3663,219877,241,32295,715,4361859,60115,293428,10909,23486,861,308459,4869,11716,74,105588,294,742677,15032,5947,13741,1207,422,848,71,20958,1265,28,17,45,3,,,,,19,16,46,14,1752,289,424,33,3551,5,53605,16,1,1,,,,,,,36,2,12211,2758,3912,800
กระบี่,14671,5651,6074,4881,16606,4115,470,357,500,1327,424,118,16,18051,4274,6,14,7,18,1,40,46,4,106,181,126,413,128,3547,261,289,2397,111,15908,3721,178,25862,439,252467,9175,644307,147,114432,125,10157,7,3221,25,1024584,9336,26675,1373,1736,84,4465,134,,,50,1,32926,1531,2486,8412,924,293,402,35,11593,952,15,27,42,7,3,3,2,1,8,5,67,12,214,37,84,14,20014,4,3112,6,3,2,,,,,,,31,4,5828,1222,1995,417
พังงา,12985,354,437,353,1144,216,887,1254,1360,3501,721,752,28,5397,932,,,,,,,,,641,790,768,2199,254,754,164,112,2219,64,25704,3252,225,32041,395,218979,9549,527977,83,341355,153,36,4,32,2,1088379,9655,21489,1374,2326,124,7793,311,42,5,254,9,31904,1697,2635,6487,540,78,174,13,9374,552,22,82,104,17,1,1,8,2,65,15,63,11,196,49,36,8,2,2,200,1,9,2,10,3,29,3,,,34,11,2345,602,793,279
ภูเก็ต,3544,254,230,84,568,53,147,170,155,472,55,,,1040,98,,,,,,,,,322,473,209,1004,110,293,7,44,476,20,11211,2133,27,14157,34,83444,2516,60,3,83000,3,98000,6,93000,2,357504,2527,6536,353,40,1,3255,8,,,,,9831,359,161,405,31,140,640,25,1346,46,19,43,62,3,,,13,1,196,22,136,19,81,19,27,3,,,,,5,1,,,,,3,1,4,1,2008,457,623,41
สุราษฎร์ธานี,54113,20137,13363,8929,42429,8341,3027,4067,3859,10953,2476,213,70,53595,9709,,244,,,,244,244,3,836,976,314,2126,414,15365,1738,1320,6676,814,61730,12292,2292,97383,4047,1223318,40915,1531474,335,466951,351,,,,,3221743,41249,56739,3038,8287,308,166211,2243,,,,,231237,4842,1830,3595,289,52,138,16,5615,303,91,128,219,22,,,1,1,1,1,82,22,598,133,57,10,,,77750,8,2,1,,,117,5,,,36,6,8818,2385,2390,688
ระนอง,6565,90,83,148,321,106,497,804,1365,2666,614,93,12,3080,685,,,,,,,,,79,182,313,574,145,575,59,134,3141,80,4488,5357,184,13695,245,95880,4582,60270,19,281514,106,,,,,437664,4653,6057,507,236,8,4887,21,,,,,11180,529,1228,2859,412,20,52,3,4159,415,2,4,6,2,,,,,,,17,8,128,53,51,15,,,170,2,7,1,,,,,,,,,2310,752,631,247
ชุมพร,22305,3544,732,832,5108,1323,4113,3930,4106,12149,2673,4520,396,21777,4093,86,129,111,698,74,1012,1098,21,177,117,78,372,97,15250,648,295,2839,523,48817,6132,1267,73333,1958,325081,17861,540355,155,587783,252,32,2,,,1453251,18034,5530,282,3536,59,31147,127,,,,,40213,449,1406,2343,71,29,34,3,3812,72,3,15,18,2,1,1,1,1,,,5,1,127,21,16,1,100,1,5700,5,,,,,5,1,,,,,2562,651,187,80
ตรัง,23451,13772,15596,16193,45561,8713,120,105,57,282,144,17,3,45860,8745,,,,,,,,,187,112,45,344,69,759,85,385,5152,226,25825,13064,527,45185,657,429952,18956,1064393,184,551267,212,17,2,19,2,2045648,19266,24450,1369,4473,98,12558,175,50,1,,,41531,1624,2890,5580,862,33,61,19,8564,879,27,30,57,9,,,,,66,22,20,2,90,26,1,1,71,4,17328,11,,,,,125,1,,,15,1,6491,1557,2813,505
พัทลุง,35815,28090,26221,11587,65898,16691,1689,2109,1340,5138,1258,572,186,71608,17476,114,383,522,961,159,2025,2139,93,823,1812,251,2886,209,4655,279,1822,18674,2116,169649,55533,2691,250333,3507,1036766,27759,3248902,548,587255,1782,97083,254,18601,174,4988607,28667,155070,5357,24363,601,55441,1240,8611,32,91456,190,334941,6900,4242,9211,1149,476,147,22,14076,1162,57,108,165,18,12,2,74,2,4,3,64,15,1374,263,365,41,8019,5,56132,28,3,1,,,,,,,10,5,9654,1630,3690,732
สงขลา,50156,38485,35129,18538,92152,19297,2291,2686,1381,6358,1767,525,184,99035,20260,,,,,,,,,2298,1034,615,3947,261,15583,521,1397,8133,1044,52209,30034,1002,107356,1846,1299557,37470,1982042,990,992846,1177,151454,114,222215,106,4648114,38860,303710,10005,87575,1502,473632,3549,7087,20,18841,21,890845,12951,15942,24661,4319,197,542,66,41342,4358,514,723,1237,170,,,,,,,62,18,1070,224,4266,367,25882,11,182396,72,3003,2,,,4,1,,,195,11,13991,1862,7838,588
สตูล,17467,6986,7890,8202,23078,6521,1819,1737,1185,4741,1822,187,72,28006,7163,,,1,,,1,1,1,90,75,81,246,95,79,4,34,223,25,6426,261,79,7023,88,313610,14054,671837,83,211255,244,52,1,23,1,1196777,14181,74290,4925,5418,280,27618,1346,557,20,209,7,108092,5808,11908,30840,5024,486,898,178,44132,5114,150,422,572,86,24,3,10,2,4,2,69,17,189,55,56,12,94,3,29384,17,2,1,,,4,1,,,,,4303,1054,429,100
ปัตตานี,29958,10709,11295,16643,38647,13489,5240,2909,3464,11613,5646,328,161,50588,15740,,,,,,,,,227,266,297,790,125,476,66,81,385,37,1034,395,47,2371,123,591156,24879,189695,114,10564,163,10260,7,10,1,801685,24994,258251,14243,11348,543,68877,2127,,,,,338476,15722,11833,22343,7328,101,294,85,34571,7391,4989,10751,15740,3106,,,,,,,15,5,529,142,62,10,100,1,113235,32,,,,,20,2,,,,,11552,1927,1489,275
ยะลา,42827,8118,11147,9285,28550,10510,3072,2940,2514,8526,3932,96,65,37172,12486,8,42,3,25,,70,78,6,325,435,325,1085,238,202,21,122,304,35,14105,495,54,15228,73,488864,29862,36359,695,73104,265,17139,393,10771,11,626237,30594,128368,11331,20809,1167,15667,1015,328,30,83,5,165255,12940,13954,29372,8753,270,802,135,44398,8870,932,1858,2790,526,,,,,4,4,51,21,839,233,135,21,1848,15,12521,42,3,3,1,1,12,3,,,,,11994,3120,11216,2662
นราธิวาส,28739,13920,16995,15745,46660,13786,2235,2625,2541,7401,2742,83,48,54144,14619,,2,49,,,51,51,1,638,1029,978,2645,422,761,89,99,653,84,2724,1066,64,5303,173,398792,22580,13556,142,9626,233,138,9,41,5,422153,22656,159130,11922,1299,153,4957,350,6,1,2,1,165394,12085,7868,19134,4727,181,607,118,27790,4817,248,692,940,156,39,1,1,1,1,1,26,10,181,64,138,14,38,3,12524,33,,,,,2,1,,,1,1,2136,550,846,162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
